Time iteration ExecutionTime CPUTime
1 0 0.89 1 
1 1 1.67 0.306954 
1 2 2.47 0.156481 
1 3 3.24 0.0855437 
1 4 4.06 0.053182 
1 5 4.89 0.0361385 
1 6 5.71 0.025715 
1 7 6.49 0.0200902 
1 8 7.31 0.0169294 
1 9 8.08 0.0146219 
1 10 8.88 0.0128456 
1 11 9.67 0.0114463 
1 12 10.45 0.0102931 
1 13 11.23 0.00932219 
1 14 12.01 0.00848846 
1 15 12.76 0.00776219 
1 16 13.51 0.00712048 
1 17 14.29 0.00655324 
1 18 15.06 0.00604595 
1 19 15.83 0.0055902 
1 20 16.58 0.00518045 
1 21 17.37 0.00480549 
1 22 18.14 0.0044652 
1 23 18.91 0.00414872 
1 24 19.67 0.00385954 
1 25 20.48 0.0035947 
1 26 21.26 0.00343835 
1 27 22.01 0.00331653 
1 28 22.76 0.00319564 
1 29 23.52 0.00307633 
1 30 24.26 0.00295919 
1 31 25.03 0.00284458 
1 32 25.78 0.00273278 
1 33 26.52 0.00262407 
1 34 27.28 0.00251851 
1 35 28.04 0.00241626 
1 36 28.8 0.00231729 
1 37 29.55 0.00222166 
1 38 30.29 0.00212933 
1 39 31.04 0.00204028 
1 40 31.81 0.00195446 
1 41 32.58 0.00187182 
1 42 33.34 0.00179208 
1 43 34.1 0.00171565 
1 44 34.86 0.00164214 
1 45 35.61 0.00157151 
1 46 36.36 0.00150364 
1 47 37.12 0.00143849 
1 48 37.87 0.00137594 
1 49 38.62 0.00131593 
1 50 39.37 0.00125836 
1 51 40.12 0.00120315 
1 52 40.87 0.00115023 
1 53 41.62 0.00109949 
1 54 42.36 0.00105089 
1 55 43.15 0.00100432 
1 56 43.96 0.000959709 
1 57 44.76 0.000916992 
1 58 45.51 0.000876087 
1 59 46.27 0.000836931 
1 60 47.02 0.000799456 
1 61 47.82 0.000763588 
1 62 48.58 0.00072927 
1 63 49.34 0.000696433 
1 64 50.09 0.000665028 
1 65 50.85 0.000634987 
1 66 51.6 0.000606252 
1 67 52.35 0.000578791 
1 68 53.1 0.000552524 
1 69 53.86 0.000527418 
1 70 54.61 0.000503415 
1 71 55.37 0.000480478 
1 72 56.19 0.000458554 
1 73 57.17 0.000437605 
1 74 58.02 0.000417588 
1 75 58.88 0.000398465 
1 76 59.67 0.000380194 
1 77 60.51 0.000362742 
1 78 61.38 0.000346071 
1 79 62.18 0.000330152 
1 80 62.99 0.000314945 
1 81 63.77 0.000300419 
1 82 64.58 0.000286555 
1 83 65.37 0.00027332 
1 84 66.18 0.000260684 
1 85 66.98 0.000248621 
1 86 67.8 0.000237106 
1 87 68.6 0.000226115 
1 88 69.37 0.000215624 
1 89 70.35 0.000205611 
1 90 71.23 0.000196054 
1 91 72.02 0.000186935 
1 92 72.8 0.000178232 
1 93 73.6 0.000169928 
1 94 74.4 0.000162005 
1 95 75.22 0.000154445 
1 96 76.03 0.000147232 
1 97 76.8 0.000140352 
1 98 77.6 0.000133789 
1 99 78.37 0.000127528 
1 100 79.16 0.000121556 
1 101 79.93 0.00011586 
1 102 80.72 0.000110427 
1 103 81.52 0.000105246 
1 104 82.32 0.000100304 
1 105 83.11 9.55923e-05 
1 106 83.88 9.10993e-05 
1 107 84.65 8.6814e-05 
1 108 85.41 8.27288e-05 
1 109 86.18 7.88333e-05 
1 110 86.98 7.51192e-05 
1 111 87.8 7.15783e-05 
1 112 88.57 6.82024e-05 
1 113 89.33 6.49839e-05 
1 114 90.15 6.19162e-05 
1 115 90.95 5.89913e-05 
1 116 91.76 5.62035e-05 
1 117 92.57 5.35463e-05 
1 118 93.34 5.10132e-05 
1 119 94.11 4.85991e-05 
1 120 95.01 4.6298e-05 
1 121 95.8 4.41048e-05 
1 122 96.58 4.20148e-05 
1 123 97.47 4.0023e-05 
1 124 98.28 3.81246e-05 
1 125 99.09 3.63156e-05 
1 126 99.87 3.45918e-05 
1 127 100.66 3.29491e-05 
1 128 101.44 3.13839e-05 
1 129 102.2 2.98923e-05 
1 130 102.98 2.84712e-05 
1 131 103.77 2.7117e-05 
1 132 104.63 2.58268e-05 
1 133 105.5 2.45976e-05 
1 134 106.33 2.34265e-05 
1 135 107.17 2.23107e-05 
1 136 107.96 2.12477e-05 
1 137 108.76 2.0235e-05 
1 138 109.54 1.92702e-05 
1 139 110.31 1.83512e-05 
1 140 111.1 1.74757e-05 
1 141 111.86 1.66417e-05 
1 142 112.63 1.58473e-05 
1 143 113.4 1.50905e-05 
1 144 114.17 1.43697e-05 
1 145 114.94 1.36831e-05 
1 146 115.71 1.30291e-05 
1 147 116.47 1.24062e-05 
1 148 117.24 1.18129e-05 
1 149 118.01 1.12479e-05 
1 150 118.78 1.07097e-05 
1 151 119.54 1.01971e-05 
1 152 120.3 9.7089e-06 
1 153 121.05 9.24398e-06 
1 154 121.81 8.80123e-06 
1 155 122.59 8.37955e-06 
1 156 123.36 7.97798e-06 
1 157 124.11 7.59557e-06 
1 158 124.88 7.23138e-06 
1 159 125.64 6.88459e-06 
1 160 126.41 6.55435e-06 
1 161 127.17 6.23988e-06 
1 162 127.93 5.94042e-06 
1 163 128.71 5.65529e-06 
1 164 129.49 5.38375e-06 
1 165 130.26 5.12523e-06 
1 166 131.02 4.87904e-06 
1 167 131.77 4.64464e-06 
1 168 132.53 4.42146e-06 
1 169 133.31 4.20895e-06 
1 170 134.08 4.00662e-06 
1 171 134.85 3.81398e-06 
1 172 135.62 3.63056e-06 
1 173 136.39 3.45593e-06 
1 174 137.15 3.28967e-06 
1 175 137.91 3.13138e-06 
1 176 138.69 2.98067e-06 
1 177 139.5 2.8372e-06 
1 178 140.28 2.7006e-06 
1 179 141.04 2.57056e-06 
1 180 141.82 2.44676e-06 
1 181 142.58 2.3289e-06 
1 182 143.36 2.2167e-06 
1 183 144.13 2.10989e-06 
1 184 144.9 2.0082e-06 
1 185 145.66 1.9114e-06 
1 186 146.44 1.81926e-06 
1 187 147.21 1.73154e-06 
1 188 147.98 1.64803e-06 
1 189 148.75 1.56855e-06 
1 190 149.53 1.49288e-06 
1 191 150.3 1.42086e-06 
1 192 151.07 1.3523e-06 
1 193 151.85 1.28703e-06 
1 194 152.61 1.22491e-06 
1 195 153.38 1.16578e-06 
1 196 154.15 1.10949e-06 
1 197 154.92 1.05592e-06 
1 198 155.67 1.00492e-06 
1 199 156.46 9.5637e-07 
1 200 157.23 9.1019e-07 
1 201 158.01 8.66211e-07 
1 202 158.78 8.24355e-07 
1 203 159.57 7.84518e-07 
1 204 160.33 7.46598e-07 
1 205 161.1 7.10512e-07 
1 206 161.86 6.76162e-07 
1 207 162.61 6.43469e-07 
1 208 163.38 6.12355e-07 
1 209 164.14 5.82742e-07 
1 210 164.92 5.54548e-07 
1 211 165.68 5.27728e-07 
1 212 166.45 5.02211e-07 
1 213 167.21 4.77924e-07 
1 214 167.98 4.54829e-07 
1 215 168.81 4.32916e-07 
1 216 169.57 4.12091e-07 
1 217 170.33 3.92268e-07 
1 218 171.08 3.73288e-07 
1 219 171.69 3.7452e-07 
1 220 172.45 3.27673e-07 
1 221 173.04 3.37274e-07 
1 222 173.78 2.93799e-07 
1 223 174.35 3.04483e-07 
1 224 175.08 2.64951e-07 
1 225 175.66 2.75231e-07 
1 226 176.25 2.62631e-07 
1 227 176.99 2.22118e-07 
1 228 177.57 2.35235e-07 
1 229 178.15 2.25065e-07 
1 230 178.87 1.90182e-07 
1 231 179.43 2.0188e-07 
1 232 180.01 1.93358e-07 
1 233 180.58 1.83032e-07 
1 234 181.14 1.72879e-07 
1 235 181.81 1.44583e-07 
1 236 182.36 1.55347e-07 
1 237 182.76 1.56938e-07 
1 238 183.32 1.36923e-07 
1 239 183.73 1.39989e-07 
1 240 184.28 1.21449e-07 
1 241 184.67 1.25258e-07 
1 242 185.22 1.08493e-07 
1 243 185.62 1.12627e-07 
1 244 186.01 1.07041e-07 
1 245 186.54 9.02542e-08 
1 246 186.92 9.61426e-08 
1 247 187.3 9.16397e-08 
1 248 187.81 7.69924e-08 
1 249 188.17 8.26591e-08 
1 250 188.53 7.85625e-08 
1 251 188.88 7.40815e-08 
1 252 189.34 6.24048e-08 
1 253 189.67 6.72444e-08 
1 254 190 6.42646e-08 
1 255 190.33 6.06014e-08 
1 256 190.58 5.13545e-08 
1 257 190.79 3.80065e-08 
1 258 191.11 5.54287e-08 
1 259 191.32 3.16769e-08 
1 260 191.64 5.26642e-08 
1 261 191.84 2.82141e-08 
1 262 192.13 4.86543e-08 
1 263 192.33 2.49876e-08 
1 264 192.63 4.58066e-08 
1 265 192.83 2.23697e-08 
1 266 193 3.53336e-08 
1 267 193.17 1.99768e-08 
1 268 193.23 0 
