Time iteration ExecutionTime CPUTime
1 0 1.03 1 
1 1 1.98 0.306954 
1 2 2.92 0.156481 
1 3 3.82 0.0855437 
1 4 4.82 0.053182 
1 5 5.83 0.0361385 
1 6 6.76 0.025715 
1 7 7.63 0.0200902 
1 8 8.49 0.0169294 
1 9 9.33 0.0146219 
1 10 10.22 0.0128456 
1 11 11.47 0.0114463 
1 12 12.39 0.0102931 
1 13 13.24 0.00932219 
1 14 14.08 0.00848846 
1 15 14.96 0.00776219 
1 16 15.87 0.00712048 
1 17 16.72 0.00655324 
1 18 17.56 0.00604595 
1 19 18.49 0.0055902 
1 20 31.69 9.12274e-07 
1 21 31.81 2.07396e-07 
1 22 31.92 1.47551e-07 
1 23 32.02 8.42086e-08 
1 24 32.1 7.18828e-08 
1 25 32.2 9.25596e-08 
1 26 32.28 3.5331e-08 
1 27 32.36 3.33742e-08 
1 28 32.49 6.32703e-08 
1 29 32.56 2.33398e-08 
1 30 32.64 1.98574e-08 
1 31 32.71 1.55763e-08 
1 32 32.81 4.83815e-08 
1 33 32.89 1.48781e-08 
1 34 32.97 1.28073e-08 
1 35 33.07 3.15917e-08 
1 36 33.19 2.30365e-08 
1 37 33.26 7.5947e-09 
1 38 33.32 6.23658e-09 
1 39 33.45 2.57e-08 
1 40 33.56 1.5581e-08 
1 41 33.66 1.39788e-08 
1 42 33.75 9.89526e-09 
1 43 33.91 1.52567e-08 
1 44 34.05 9.47304e-09 
1 45 34.17 1.55516e-08 
1 46 34.27 8.67772e-09 
1 47 34.39 1.38633e-08 
1 48 34.5 8.39615e-09 
1 49 34.65 1.37056e-08 
1 50 34.75 7.09409e-09 
1 51 34.89 1.19736e-08 
1 52 35 6.21019e-09 
1 53 35.13 1.04557e-08 
1 54 35.26 5.28205e-09 
1 55 35.4 9.29142e-09 
1 56 35.53 4.34677e-09 
1 57 35.58 8.464e-10 
1 58 35.68 3.12832e-09 
1 59 35.83 8.91257e-09 
1 60 36.02 7.7102e-09 
1 61 36.14 3.45309e-09 
1 62 36.3 6.712e-09 
1 63 36.56 6.32842e-09 
1 64 36.75 4.15147e-09 
1 65 36.99 6.57308e-09 
1 66 37.27 5.18304e-09 
1 67 37.55 5.14976e-09 
1 68 37.83 4.75194e-09 
1 69 38.1 4.4708e-09 
1 70 38.38 4.15661e-09 
1 71 38.66 3.92467e-09 
1 72 38.94 3.68154e-09 
1 73 39.34 6.27763e-09 
1 74 39.73 4.5831e-09 
1 75 39.98 3.19758e-09 
1 76 40.3 3.0563e-09 
1 77 40.6 2.89151e-09 
1 78 40.93 2.72086e-09 
1 79 41.39 3.31064e-09 
1 80 41.87 3.74037e-09 
1 81 42.18 2.44258e-09 
1 82 42.62 2.67464e-09 
1 83 42.92 2.33813e-09 
1 84 43.24 2.33386e-09 
1 85 43.56 2.14255e-09 
1 86 44.02 2.06649e-09 
1 87 44.47 2.33424e-09 
1 88 44.87 1.75627e-09 
1 89 45.35 1.64783e-09 
1 90 45.66 1.77389e-09 
1 91 46.12 1.78463e-09 
1 92 46.59 1.43076e-09 
1 93 46.9 1.60224e-09 
1 94 47.39 1.40276e-09 
1 95 47.88 1.17296e-09 
1 96 48.2 1.41407e-09 
1 97 48.68 1.15243e-09 
1 98 49.15 1.02116e-09 
1 99 49.53 1.2022e-09 
1 100 50.01 9.31576e-10 
1 101 50.48 9.12555e-10 
1 102 50.84 1.06273e-09 
1 103 51.25 9.93456e-10 
1 104 51.8 7.4848e-10 
1 105 52.32 7.43257e-10 
1 106 52.72 8.678e-10 
1 107 53.24 6.89019e-10 
1 108 53.84 6.69279e-10 
1 109 54.31 7.65733e-10 
1 110 54.89 6.12979e-10 
1 111 55.46 5.87789e-10 
1 112 55.9 6.69706e-10 
1 113 56.49 5.39736e-10 
1 114 57.07 5.10922e-10 
1 115 57.63 5.11478e-10 
1 116 58.22 4.8812e-10 
1 117 58.67 5.41187e-10 
1 118 59.24 4.40793e-10 
1 119 59.79 4.13751e-10 
1 120 60.33 4.06462e-10 
1 121 60.88 3.91475e-10 
1 122 61.28 4.31227e-10 
1 123 61.83 3.53814e-10 
1 124 62.38 3.31598e-10 
1 125 62.94 3.2482e-10 
1 126 63.49 3.12122e-10 
1 127 64.05 3.0152e-10 
1 128 64.61 2.88402e-10 
1 129 65.17 2.76983e-10 
1 130 65.72 2.64348e-10 
1 131 66.3 2.53147e-10 
1 132 66.86 2.41477e-10 
1 133 67.43 2.31182e-10 
1 134 68.01 2.20211e-10 
1 135 68.59 2.10577e-10 
1 136 69.24 2.00774e-10 
1 137 69.86 1.91862e-10 
1 138 70.44 1.82731e-10 
1 139 71.02 1.74576e-10 
1 140 71.59 1.66015e-10 
1 141 72.24 1.58748e-10 
1 142 72.89 1.51273e-10 
1 143 73.56 1.44512e-10 
1 144 74.23 1.37691e-10 
1 145 74.86 1.31498e-10 
1 146 75.51 1.25264e-10 
1 147 76.2 1.19649e-10 
1 148 76.84 1.13933e-10 
1 149 77.45 1.08791e-10 
1 150 78.06 1.03634e-10 
1 151 78.66 9.8916e-11 
