Time iteration ExecutionTime CPUTime
1 0 0.92 1 
1 1 1.75 0.306954 
1 2 2.58 0.156481 
1 3 3.36 0.0855437 
1 4 4.17 0.053182 
1 5 4.98 0.0361385 
1 6 5.81 0.025715 
1 7 6.65 0.0200902 
1 8 7.46 0.0169294 
1 9 8.28 0.0146219 
1 10 9.1 0.0128456 
1 11 9.88 0.0114463 
1 12 10.68 0.0102931 
1 13 11.51 0.00932219 
1 14 12.3 0.00848846 
1 15 13.13 0.00776219 
1 16 13.95 0.00712048 
1 17 14.79 0.00655324 
1 18 15.77 0.00604595 
1 19 16.6 0.0055902 
1 20 18.01 3.09818e-07 
1 21 18.13 5.131e-08 
1 22 18.26 3.87988e-08 
1 23 18.39 3.24311e-08 
1 24 18.5 2.76873e-08 
1 25 18.63 2.39266e-08 
1 26 18.75 2.08105e-08 
1 27 18.87 1.76308e-08 
1 28 18.98 1.5629e-08 
1 29 19.1 1.38632e-08 
1 30 19.22 1.23175e-08 
1 31 19.32 7.83501e-09 
1 32 19.44 1.08243e-08 
1 33 19.56 9.7575e-09 
1 34 19.65 5.12867e-09 
1 35 19.75 8.52983e-09 
1 36 19.85 3.85228e-09 
1 37 19.97 7.59597e-09 
1 38 20.1 6.63247e-09 
1 39 20.17 2.49435e-09 
1 40 20.34 6.00261e-09 
1 41 20.61 9.70761e-09 
1 42 20.72 4.79649e-09 
1 43 20.82 2.05187e-09 
1 44 21.09 1.39637e-08 
1 45 21.21 3.47768e-09 
1 46 21.3 1.02481e-09 
1 47 21.37 7.41486e-10 
1 48 21.46 3.28831e-09 
1 49 21.61 3.79766e-09 
1 50 21.8 2.95916e-09 
1 51 21.89 8.83452e-10 
1 52 22.02 2.914e-09 
1 53 22.2 2.6513e-09 
1 54 22.48 5.12538e-09 
1 55 22.65 2.47947e-09 
1 56 22.81 1.75541e-09 
1 57 22.91 1.77131e-09 
1 58 23.07 1.55927e-09 
1 59 23.19 1.47588e-09 
1 60 23.36 1.42175e-09 
1 61 23.51 1.21908e-09 
1 62 23.69 1.27151e-09 
1 63 23.94 1.30135e-09 
1 64 24.11 8.54367e-10 
1 65 24.28 1.59229e-09 
1 66 24.44 8.43691e-10 
1 67 24.59 1.11749e-09 
1 68 24.75 7.91138e-10 
1 69 25.03 1.35167e-09 
1 70 25.29 9.7892e-10 
1 71 25.47 5.446e-10 
1 72 25.77 1.11737e-09 
1 73 26.02 8.69377e-10 
1 74 26.28 8.42491e-10 
1 75 26.55 8.05108e-10 
1 76 26.73 4.41134e-10 
1 77 26.99 7.80938e-10 
1 78 27.25 7.12392e-10 
1 79 27.51 6.60996e-10 
1 80 27.78 6.16026e-10 
1 81 28.05 5.77256e-10 
1 82 28.47 4.95281e-10 
1 83 28.77 5.06779e-10 
1 84 29.07 4.95777e-10 
1 85 29.37 4.64013e-10 
1 86 29.81 3.89432e-10 
1 87 30.24 4.82121e-10 
1 88 30.53 3.87709e-10 
1 89 30.96 3.36938e-10 
1 90 31.27 3.54647e-10 
1 91 31.58 3.51247e-10 
1 92 32.02 2.71043e-10 
1 93 32.33 3.06855e-10 
1 94 32.68 2.92872e-10 
1 95 33.27 2.87387e-10 
1 96 33.63 2.60968e-10 
1 97 34 2.63359e-10 
1 98 34.48 2.0648e-10 
1 99 34.83 2.42482e-10 
1 100 35.33 2.11961e-10 
1 101 35.83 1.73922e-10 
1 102 36.19 2.16539e-10 
1 103 36.54 2.06243e-10 
1 104 36.92 1.90056e-10 
1 105 37.53 1.53688e-10 
1 106 37.88 1.72048e-10 
1 107 38.27 1.70134e-10 
1 108 38.84 1.23804e-10 
1 109 39.38 1.21719e-10 
1 110 39.89 1.25277e-10 
1 111 40.28 1.42831e-10 
1 112 40.69 1.33932e-10 
1 113 41.25 1.04502e-10 
1 114 41.78 9.86858e-11 
