Time iteration ExecutionTime CPUTime
1 0 1.46 1 
1 1 2.86 3 
1 2 4.25 4 
1 3 5.53 5 
1 4 6.93 7 
1 5 8.25 8 
1 6 9.54 9 
1 7 10.95 11 
1 8 12.29 12 
1 9 13.46 13 
1 10 14.71 14 
1 11 16.04 16 
1 12 17.27 17 
1 13 18.51 18 
1 14 19.9 20 
1 15 21.2 21 
1 16 22.52 22 
1 17 23.95 24 
1 18 25.25 25 
1 19 26.51 26 
1 20 27.78 28 
1 21 29.08 29 
1 22 30.42 30 
1 23 31.69 31 
1 24 33.09 33 
1 25 34.28 34 
1 26 35.48 35 
1 27 36.88 37 
1 28 38.03 38 
1 29 39.22 39 
1 30 40.44 40 
1 31 41.51 41 
1 32 42.66 42 
1 33 43.93 44 
1 34 45.18 45 
1 35 46.41 46 
1 36 47.67 47 
1 37 49.04 49 
1 38 50.26 50 
1 39 51.56 51 
1 40 52.79 53 
1 41 53.89 54 
1 42 55.01 55 
1 43 56.15 56 
1 44 57.3 57 
1 45 58.7 58 
1 46 59.92 60 
1 47 61.06 61 
1 48 62.2 62 
1 49 63.35 63 
1 50 64.6 64 
1 51 65.93 66 
1 52 67.12 67 
1 53 68.35 68 
1 54 69.58 69 
1 55 70.94 71 
1 56 72.24 72 
1 57 73.6 73 
1 58 74.98 75 
1 59 76.31 76 
1 60 77.54 77 
1 61 78.86 79 
1 62 80.14 80 
1 63 81.36 81 
1 64 82.69 82 
1 65 83.93 84 
1 66 85.27 85 
1 67 86.54 86 
1 68 87.87 88 
1 69 89.04 89 
1 70 90.3 90 
1 71 91.61 91 
1 72 92.88 93 
1 73 94.05 94 
1 74 95.37 95 
1 75 96.71 97 
1 76 98.23 98 
1 77 99.47 99 
1 78 100.84 101 
1 79 102.16 102 
1 80 103.47 103 
1 81 104.79 105 
1 82 106.22 106 
1 83 107.53 107 
1 84 108.91 109 
1 85 110.14 110 
1 86 111.42 111 
1 87 112.93 113 
1 88 114.19 114 
1 89 115.45 115 
1 90 116.58 116 
1 91 118.02 118 
1 92 119.22 119 
1 93 120.48 120 
1 94 121.84 122 
1 95 123.19 123 
1 96 124.47 124 
1 97 125.85 126 
1 98 127.06 127 
1 99 128.26 128 
1 100 129.5 129 
1 101 130.75 131 
1 102 132 132 
1 103 133.2 133 
1 104 134.42 134 
1 105 135.56 135 
1 106 136.84 137 
1 107 138.2 138 
1 108 139.65 139 
1 109 140.87 141 
1 110 142.15 142 
1 111 143.33 143 
1 112 144.53 144 
1 113 145.93 146 
1 114 147.17 147 
1 115 148.34 148 
1 116 149.65 149 
1 117 150.92 151 
1 118 152.28 152 
1 119 153.46 153 
1 120 154.69 155 
1 121 156.02 156 
1 122 157.17 157 
1 123 158.55 158 
1 124 159.84 160 
1 125 161.21 161 
1 126 162.53 162 
1 127 163.78 164 
1 128 165.11 165 
1 129 166.38 166 
1 130 167.63 167 
1 131 168.88 169 
1 132 170.17 170 
1 133 171.51 171 
1 134 172.77 173 
1 135 174.05 174 
1 136 175.29 175 
1 137 176.51 176 
1 138 177.81 178 
1 139 179.17 179 
1 140 180.45 180 
1 141 181.76 182 
1 142 183 183 
1 143 184.26 184 
1 144 185.5 185 
1 145 186.8 187 
1 146 188.11 188 
1 147 189.38 189 
1 148 190.7 191 
1 149 191.99 192 
1 150 193.24 193 
1 151 194.64 194 
1 152 195.96 196 
1 153 197.26 197 
1 154 198.51 198 
1 155 199.79 200 
1 156 201.12 201 
1 157 202.48 202 
1 158 203.88 204 
1 159 205.27 205 
1 160 206.49 206 
1 161 208.04 208 
1 162 209.38 209 
1 163 210.68 211 
1 164 212.09 212 
1 165 213.39 213 
1 166 214.71 215 
1 167 216.03 216 
1 168 217.42 217 
1 169 218.81 219 
1 170 220.14 220 
1 171 221.52 221 
1 172 222.81 223 
1 173 224.12 224 
1 174 225.51 225 
1 175 226.96 227 
1 176 228.27 228 
1 177 229.49 229 
1 178 230.88 231 
1 179 232.17 232 
1 180 233.46 233 
1 181 234.79 235 
1 182 235.93 236 
1 183 237.08 237 
1 184 238.24 238 
1 185 239.43 239 
1 186 240.56 240 
1 187 241.73 242 
1 188 242.89 243 
1 189 244.12 244 
1 190 245.32 245 
1 191 246.55 246 
1 192 247.68 248 
1 193 248.83 249 
1 194 250 250 
1 195 251.14 251 
1 196 252.3 252 
1 197 253.46 253 
1 198 254.61 254 
1 199 255.82 256 
1 200 257.02 257 
1 201 258.22 258 
1 202 259.52 259 
1 203 260.87 261 
1 204 262.11 262 
1 205 263.37 263 
1 206 264.55 264 
1 207 265.72 266 
1 208 266.97 267 
1 209 268.23 268 
1 210 269.46 269 
1 211 270.69 271 
1 212 271.96 272 
1 213 273.19 273 
1 214 274.4 274 
1 215 275.6 275 
1 216 276.8 277 
1 217 277.99 278 
1 218 279.15 279 
1 219 280.09 280 
1 220 281.27 281 
1 221 282.18 282 
1 222 283.42 283 
1 223 284.29 284 
1 224 285.45 285 
1 225 286.37 286 
1 226 287.3 287 
1 227 288.47 288 
1 228 289.36 289 
1 229 290.24 290 
1 230 291.38 291 
1 231 292.31 292 
1 232 293.2 293 
1 233 294.1 294 
1 234 294.96 295 
1 235 295.99 296 
1 236 296.83 297 
1 237 297.48 297 
1 238 298.39 298 
1 239 299.05 299 
1 240 299.98 300 
1 241 300.66 300 
1 242 301.53 301 
1 243 302.16 302 
1 244 302.75 303 
1 245 303.6 303 
1 246 304.19 304 
1 247 304.74 305 
1 248 305.5 305 
1 249 306.06 306 
1 250 306.6 306 
1 251 307.19 307 
1 252 307.92 308 
1 253 308.47 308 
1 254 309.01 309 
1 255 309.54 309 
1 256 309.96 310 
1 257 310.28 310 
1 258 310.78 311 
1 259 311.08 311 
1 260 311.56 311 
1 261 311.86 312 
1 262 312.35 312 
1 263 312.63 312 
1 264 313.07 313 
1 265 313.34 313 
1 266 313.59 313 
1 267 313.86 314 
1 268 313.92 314 
2 0 315.39 315 
2 1 316.72 317 
2 2 318.01 318 
2 3 319.17 319 
2 4 320.48 320 
2 5 321.76 322 
2 6 323 323 
2 7 324.22 324 
2 8 325.47 325 
2 9 326.62 326 
2 10 327.78 328 
2 11 329.01 329 
2 12 330.21 330 
2 13 331.49 331 
2 14 333.03 333 
2 15 334.38 334 
2 16 335.55 335 
2 17 336.71 337 
2 18 337.89 338 
2 19 339.07 339 
2 20 340.22 340 
2 21 341.48 341 
2 22 343.03 343 
2 23 344.22 344 
2 24 345.39 345 
2 25 346.56 346 
2 26 347.71 348 
2 27 348.88 349 
2 28 350.13 350 
2 29 351.32 351 
2 30 352.48 352 
2 31 353.62 353 
2 32 354.79 355 
2 33 355.94 356 
2 34 357.12 357 
2 35 358.27 358 
2 36 359.48 359 
2 37 360.68 361 
2 38 361.81 362 
2 39 362.95 363 
2 40 364.15 364 
2 41 365.31 365 
2 42 366.5 366 
2 43 367.72 368 
2 44 368.92 369 
2 45 370.07 370 
2 46 371.24 371 
2 47 372.46 372 
2 48 373.89 374 
2 49 375.31 375 
2 50 376.67 377 
2 51 377.95 378 
2 52 379.32 379 
2 53 380.52 380 
2 54 381.76 382 
2 55 383.06 383 
2 56 384.67 385 
2 57 386.07 386 
2 58 387.38 387 
2 59 388.5 388 
2 60 389.62 389 
2 61 390.82 391 
2 62 392.01 392 
2 63 393.25 393 
2 64 394.45 394 
2 65 395.65 395 
2 66 396.89 397 
2 67 398.09 398 
2 68 399.27 399 
2 69 400.5 400 
2 70 401.75 402 
2 71 402.95 403 
2 72 404.16 404 
2 73 405.36 405 
2 74 406.56 406 
2 75 407.77 408 
2 76 408.96 409 
2 77 410.14 410 
2 78 411.28 411 
2 79 412.48 412 
2 80 413.65 413 
2 81 414.78 415 
2 82 415.95 416 
2 83 417.07 417 
2 84 418.22 418 
2 85 419.35 419 
2 86 420.54 420 
2 87 421.77 422 
2 88 422.96 423 
2 89 424.13 424 
2 90 425.28 425 
2 91 426.46 426 
2 92 427.66 427 
2 93 428.79 429 
2 94 430.01 430 
2 95 431.19 431 
2 96 432.32 432 
2 97 433.52 433 
2 98 434.71 435 
2 99 435.87 436 
2 100 437.12 437 
2 101 438.35 438 
2 102 439.61 439 
2 103 440.79 441 
2 104 442.03 442 
2 105 443.25 443 
2 106 444.58 444 
2 107 445.86 446 
2 108 447.17 447 
2 109 448.47 448 
2 110 449.88 450 
2 111 451.04 451 
2 112 452.33 452 
2 113 453.59 453 
2 114 454.85 455 
2 115 456.13 456 
2 116 457.42 457 
2 117 458.7 459 
2 118 459.97 460 
2 119 461.26 461 
2 120 462.51 462 
2 121 463.74 464 
2 122 464.94 465 
2 123 466.11 466 
2 124 467.26 467 
2 125 468.47 468 
2 126 469.67 470 
2 127 470.85 471 
2 128 472.04 472 
2 129 473.22 473 
2 130 474.5 474 
2 131 475.69 476 
2 132 476.84 477 
2 133 478.06 478 
2 134 479.22 479 
2 135 480.46 480 
2 136 481.71 482 
2 137 482.9 483 
2 138 484.1 484 
2 139 485.27 485 
2 140 486.43 486 
2 141 487.65 487 
2 142 488.87 489 
2 143 490.11 490 
2 144 491.25 491 
2 145 492.42 492 
2 146 493.58 493 
2 147 494.77 495 
2 148 495.94 496 
2 149 497.14 497 
2 150 498.4 498 
2 151 499.61 499 
2 152 500.79 501 
2 153 501.99 502 
2 154 503.23 503 
2 155 504.42 504 
2 156 505.64 505 
2 157 506.78 507 
2 158 507.96 508 
2 159 509.16 509 
2 160 510.32 510 
2 161 511.56 511 
2 162 512.8 513 
2 163 513.99 514 
2 164 515.2 515 
2 165 516.38 516 
2 166 517.66 517 
2 167 518.9 519 
2 168 520.17 520 
2 169 521.41 521 
2 170 522.64 522 
2 171 523.82 524 
2 172 525.02 525 
2 173 526.21 526 
2 174 527.42 527 
2 175 528.57 528 
2 176 529.74 530 
2 177 530.97 531 
2 178 532.22 532 
2 179 533.46 533 
2 180 534.72 535 
2 181 535.92 536 
2 182 537.18 537 
2 183 538.39 538 
2 184 539.64 539 
2 185 540.86 541 
2 186 542.07 542 
2 187 543.3 543 
2 188 544.54 544 
2 189 545.77 546 
2 190 546.97 547 
2 191 548.2 548 
2 192 549.41 549 
2 193 550.58 550 
2 194 551.82 552 
2 195 553.03 553 
2 196 554.24 554 
2 197 555.43 555 
2 198 556.62 556 
2 199 557.9 558 
2 200 559.15 559 
2 201 560.37 560 
2 202 561.55 561 
2 203 562.65 562 
2 204 563.81 564 
2 205 564.72 565 
2 206 565.8 566 
2 207 566.7 567 
2 208 568.01 568 
2 209 568.93 569 
2 210 570.1 570 
2 211 571.06 571 
2 212 572.08 572 
2 213 573.38 573 
2 214 574.33 574 
2 215 575.24 575 
2 216 576.42 576 
2 217 577.35 577 
2 218 578.28 578 
2 219 579.22 579 
2 220 580.11 580 
2 221 581.18 581 
2 222 582.05 582 
2 223 582.68 583 
2 224 583.52 583 
2 225 584.17 584 
2 226 585.09 585 
2 227 585.7 586 
2 228 586.57 586 
2 229 587.19 587 
2 230 587.82 588 
2 231 588.67 589 
2 232 589.26 589 
2 233 589.83 590 
2 234 590.63 590 
2 235 591.18 591 
2 236 591.71 592 
2 237 592.25 592 
2 238 593 593 
2 239 593.57 593 
2 240 594.08 594 
2 241 594.63 594 
2 242 595.03 595 
2 243 595.35 595 
2 244 595.87 596 
2 245 596.17 596 
2 246 596.71 597 
2 247 597.05 597 
2 248 597.55 597 
2 249 597.87 598 
2 250 598.36 598 
2 251 598.65 598 
2 252 599.11 599 
2 253 599.4 599 
2 254 599.48 599 
2 255 599.55 599 
3 0 600.54 600 
3 1 602.04 602 
3 2 603.36 603 
3 3 604.6 604 
3 4 605.84 606 
3 5 607.13 607 
3 6 608.38 608 
3 7 609.67 610 
3 8 610.97 611 
3 9 612.23 613 
3 10 613.43 614 
3 11 614.63 615 
3 12 615.84 616 
3 13 617.11 618 
3 14 618.36 619 
3 15 619.56 620 
3 16 620.8 621 
3 17 622.02 623 
3 18 623.26 624 
3 19 624.48 625 
3 20 625.67 626 
3 21 626.84 627 
3 22 628.02 629 
3 23 629.18 630 
3 24 630.37 631 
3 25 631.58 632 
3 26 632.9 633 
3 27 634.23 635 
3 28 635.5 636 
3 29 636.75 637 
3 30 637.88 638 
3 31 639.03 640 
3 32 640.21 641 
3 33 641.41 642 
3 34 642.59 643 
3 35 643.74 644 
3 36 645.05 646 
3 37 646.26 647 
3 38 647.48 648 
3 39 648.64 649 
3 40 649.78 650 
3 41 650.91 651 
3 42 652.09 653 
3 43 653.26 654 
3 44 654.54 655 
3 45 655.76 656 
3 46 656.93 657 
3 47 658.06 659 
3 48 659.28 660 
3 49 660.51 661 
3 50 661.75 662 
3 51 662.96 663 
3 52 664.2 665 
3 53 665.34 666 
3 54 666.63 667 
3 55 667.85 668 
3 56 669.09 670 
3 57 670.4 671 
3 58 671.62 672 
3 59 672.88 673 
3 60 674.15 675 
3 61 675.39 676 
3 62 676.64 677 
3 63 677.84 678 
3 64 679.04 680 
3 65 680.25 681 
3 66 681.45 682 
3 67 682.79 683 
3 68 683.99 684 
3 69 685.21 686 
3 70 686.37 687 
3 71 687.52 688 
3 72 688.69 689 
3 73 689.85 690 
3 74 691.07 692 
3 75 692.28 693 
3 76 693.51 694 
3 77 694.69 695 
3 78 695.9 696 
3 79 697.1 698 
3 80 698.42 699 
3 81 699.62 700 
3 82 700.83 701 
3 83 702.04 703 
3 84 703.23 704 
3 85 704.44 705 
3 86 705.69 706 
3 87 706.96 707 
3 88 708.12 709 
3 89 709.31 710 
3 90 710.52 711 
3 91 711.71 712 
3 92 712.87 713 
3 93 714.06 715 
3 94 715.23 716 
3 95 716.42 717 
3 96 717.6 718 
3 97 718.94 719 
3 98 720.2 721 
3 99 721.47 722 
3 100 722.71 723 
3 101 723.93 724 
3 102 725.23 726 
3 103 726.5 727 
3 104 727.68 728 
3 105 728.83 729 
3 106 729.98 730 
3 107 731.15 732 
3 108 732.34 733 
3 109 733.56 734 
3 110 734.77 735 
3 111 735.97 736 
3 112 737.23 738 
3 113 738.42 739 
3 114 739.62 740 
3 115 740.84 741 
3 116 742.05 743 
3 117 743.28 744 
3 118 744.49 745 
3 119 745.76 746 
3 120 746.95 747 
3 121 748.16 749 
3 122 749.32 750 
3 123 750.59 751 
3 124 751.82 752 
3 125 753.1 754 
3 126 754.27 755 
3 127 755.44 756 
3 128 756.63 757 
3 129 757.78 758 
3 130 758.97 759 
3 131 760.16 761 
3 132 761.34 762 
3 133 762.48 763 
3 134 763.64 764 
3 135 764.85 765 
3 136 766.02 767 
3 137 767.19 768 
3 138 768.36 769 
3 139 769.5 770 
3 140 770.63 771 
3 141 771.82 772 
3 142 772.98 773 
3 143 774.12 775 
3 144 775.29 776 
3 145 776.45 777 
3 146 777.68 778 
