# Time dispX dispY dispZ forceX forceY forceZ
0 0 0 0 0 0 0
1 1.0668e-06 -8.20685e-08 1.493e-23 100000 -0.00285478 1.59925e-17
2 2.1336e-06 -1.64137e-07 2.98601e-23 200000 -0.00543328 3.38789e-17
3 3.2004e-06 -2.46205e-07 4.47901e-23 300000 -0.00808219 5.03768e-17
4 4.26721e-06 -3.28274e-07 5.97202e-23 400000 -0.0109685 7.76633e-17
5 5.33401e-06 -4.10342e-07 7.46502e-23 500000 -0.0100374 4.78007e-17
6 6.40081e-06 -4.92411e-07 8.95802e-23 600000 -0.0163483 1.06852e-16
7 7.46761e-06 -5.74479e-07 1.0451e-22 700000 -0.0172291 9.52618e-17
8 8.53441e-06 -6.56548e-07 1.1944e-22 800000 -0.0207714 1.23216e-16
9 9.60121e-06 -7.38616e-07 1.3437e-22 900000 -0.0172887 8.51965e-17
10 1.0668e-05 -8.20685e-07 1.493e-22 1e+06 -0.0237469 1.25075e-16
