Time iteration ExecutionTime CPUTime
1 0 1.28 1 
1 1 2.53 2 
1 2 3.78 4 
1 3 4.9 5 
1 4 6.14 6 
1 5 7.38 7 
1 6 8.68 8 
1 7 9.91 10 
1 8 11.15 11 
1 9 12.39 12 
1 10 13.53 13 
1 11 14.72 14 
1 12 15.87 16 
1 13 17.03 17 
1 14 18.19 18 
1 15 19.37 20 
1 16 20.6 21 
1 17 21.82 23 
1 18 23.16 24 
1 19 24.46 25 
1 20 31.89 33 
1 21 32.07 33 
1 22 32.27 33 
1 23 32.47 33 
1 24 32.67 33 
1 25 32.84 34 
1 26 33.03 34 
1 27 33.21 34 
1 28 33.38 34 
1 29 33.53 34 
1 30 33.69 34 
1 31 33.86 35 
1 32 34.06 35 
1 33 34.21 35 
1 34 34.61 35 
1 35 34.83 36 
1 36 34.93 36 
1 37 35.09 36 
1 38 35.23 36 
1 39 35.38 36 
1 40 35.52 36 
1 41 35.67 36 
1 42 35.88 37 
1 43 36.22 37 
1 44 36.44 37 
1 45 36.57 37 
1 46 36.67 37 
1 47 36.78 38 
1 48 36.86 38 
1 49 37.03 38 
1 50 37.16 38 
1 51 37.57 38 
1 52 37.98 39 
1 53 38.15 39 
1 54 38.26 39 
1 55 38.42 39 
1 56 38.64 39 
1 57 38.76 40 
1 58 38.85 40 
1 59 39.27 40 
1 60 39.72 41 
1 61 39.92 41 
1 62 40.11 41 
1 63 40.49 41 
1 64 40.94 42 
1 65 41.4 42 
1 66 41.6 42 
1 67 41.71 42 
1 68 42.15 43 
1 69 42.74 44 
1 70 42.96 44 
1 71 43.25 44 
1 72 43.74 45 
1 73 44.13 45 
1 74 44.59 45 
1 75 44.84 46 
1 76 45.11 46 
1 77 45.64 46 
1 78 46.29 47 
1 79 46.73 48 
1 80 47.16 48 
1 81 47.81 49 
1 82 48.25 49 
1 83 48.7 49 
1 84 49.32 50 
1 85 49.78 51 
1 86 50.41 51 
1 87 50.86 52 
1 88 51.38 52 
1 89 52.05 53 
1 90 52.5 53 
1 91 53.02 54 
1 92 53.69 54 
1 93 54.16 55 
1 94 54.69 55 
1 95 55.4 56 
1 96 55.87 57 
1 97 56.39 57 
1 98 57.08 58 
1 99 57.54 58 
1 100 58.05 59 
1 101 58.71 59 
1 102 59.2 60 
1 103 59.87 61 
1 104 60.65 61 
1 105 61.15 62 
1 106 61.69 62 
1 107 62.42 63 
1 108 62.93 64 
1 109 63.75 65 
1 110 64.46 65 
1 111 64.98 66 
1 112 65.51 66 
1 113 66.22 67 
1 114 66.94 68 
1 115 67.66 68 
1 116 68.14 69 
1 117 68.76 70 
1 118 69.53 70 
