# Time dispX dispY dispZ forceX forceY forceZ
0 0 0 0 0 0 0
1 1.0668e-06 -8.20685e-08 4.84374e-06 100000 -0.00148542 9.27991e-13
2 2.1336e-06 -1.64137e-07 2.93107e-06 200000 -0.00360524 3.09494e-12
3 3.2004e-06 -2.46205e-07 2.03199e-06 300000 -0.00515423 7.13356e-13
4 4.26721e-06 -3.28274e-07 1.93324e-06 400000 -0.00638961 -2.64878e-12
5 5.33401e-06 -4.10342e-07 1.38705e-06 500000 -0.00836857 1.11876e-12
6 6.40081e-06 -4.92408e-07 1.3609e-06 600000 0.00991437 9.41638e-13
7 7.46761e-06 -5.74477e-07 5.77165e-07 700000 0.0116053 3.6316e-13
8 8.53441e-06 -6.56545e-07 -1.77772e-09 800000 0.00983861 -2.54633e-12
9 9.60122e-06 -7.38613e-07 -4.28967e-07 900000 0.0125859 -8.45831e-12
10 1.0668e-05 -8.20681e-07 -7.64547e-07 1e+06 0.0152047 -1.30254e-11
