Time iteration ExecutionTime CPUTime
1 0 0.87 1 
1 1 1.68 2 
1 2 2.51 2 
1 3 3.29 3 
1 4 4.12 5 
1 5 4.98 6 
1 6 5.81 7 
1 7 6.61 7 
1 8 7.41 8 
1 9 8.17 9 
1 10 8.98 10 
1 11 9.78 11 
1 12 10.59 11 
1 13 11.39 12 
1 14 12.2 13 
1 15 13.01 14 
1 16 13.83 15 
1 17 14.63 15 
1 18 15.43 16 
1 19 16.24 17 
1 20 17.1 18 
1 21 17.97 19 
1 22 18.75 20 
1 23 19.57 20 
1 24 20.35 21 
1 25 21.21 22 
1 26 22.1 23 
1 27 22.89 24 
1 28 23.75 25 
1 29 24.55 25 
1 30 25.33 26 
1 31 26.13 27 
1 32 26.92 28 
1 33 27.78 29 
1 34 28.6 29 
1 35 29.39 30 
1 36 30.2 31 
1 37 31.02 32 
1 38 31.93 33 
1 39 32.75 34 
1 40 33.55 34 
1 41 34.35 35 
1 42 35.12 36 
1 43 36 37 
1 44 36.83 38 
1 45 37.61 38 
1 46 38.42 39 
1 47 39.2 40 
1 48 39.98 41 
1 49 40.75 42 
1 50 41.5 42 
1 51 42.28 43 
1 52 43.08 44 
1 53 43.87 45 
1 54 44.63 45 
1 55 45.41 46 
1 56 46.16 47 
1 57 46.92 48 
1 58 47.7 49 
1 59 48.46 49 
1 60 49.23 50 
1 61 49.99 51 
1 62 50.77 52 
1 63 51.54 52 
1 64 52.31 53 
1 65 53.07 54 
1 66 53.83 55 
1 67 54.59 55 
1 68 55.36 56 
1 69 56.16 57 
1 70 57.06 58 
1 71 57.82 59 
1 72 58.58 59 
1 73 59.36 60 
1 74 60.16 61 
1 75 60.96 62 
1 76 61.75 63 
1 77 62.52 63 
1 78 63.32 64 
1 79 64.1 65 
1 80 64.92 66 
1 81 65.73 67 
1 82 66.54 67 
1 83 67.36 68 
1 84 68.17 69 
1 85 68.95 70 
1 86 69.8 71 
1 87 70.6 71 
1 88 71.36 72 
1 89 72.16 73 
1 90 72.93 74 
1 91 73.7 75 
1 92 74.5 75 
1 93 75.28 76 
1 94 76.06 77 
1 95 76.82 78 
1 96 77.62 78 
1 97 78.42 79 
1 98 79.23 80 
1 99 80.04 81 
1 100 80.99 82 
1 101 81.81 83 
1 102 82.64 84 
1 103 83.46 84 
1 104 84.25 85 
1 105 85.06 86 
1 106 85.84 87 
1 107 86.62 87 
1 108 87.42 88 
1 109 88.23 89 
1 110 89.06 90 
1 111 89.85 91 
1 112 90.64 92 
1 113 91.43 92 
1 114 92.22 93 
1 115 93.06 94 
1 116 93.83 95 
1 117 94.62 95 
1 118 95.38 96 
1 119 96.15 97 
1 120 96.95 98 
1 121 97.76 99 
1 122 98.55 99 
1 123 99.43 100 
1 124 100.22 101 
1 125 101.02 102 
1 126 101.81 103 
1 127 102.62 103 
1 128 103.41 104 
1 129 104.22 105 
1 130 105.17 106 
1 131 106.04 107 
