Time iteration ExecutionTime CPUTime
1 0 1.09 1 
1 1 2.16 2 
1 2 3.2 4 
1 3 4.07 5 
1 4 4.86 6 
1 5 5.66 7 
1 6 6.44 8 
1 7 7.21 8 
1 8 7.99 9 
1 9 8.76 10 
1 10 9.52 11 
1 11 10.28 12 
1 12 11.08 12 
1 13 11.85 13 
1 14 12.61 14 
1 15 13.38 15 
1 16 14.14 15 
1 17 15.09 16 
1 18 16 17 
1 19 16.85 18 
1 20 21.86 23 
1 21 21.95 23 
1 22 22.03 23 
1 23 22.11 23 
1 24 22.2 23 
1 25 22.27 24 
1 26 22.38 24 
1 27 22.47 24 
1 28 22.56 24 
1 29 22.66 24 
1 30 22.76 24 
1 31 22.81 24 
1 32 22.94 24 
1 33 23.06 24 
1 34 23.14 24 
1 35 23.21 24 
1 36 23.37 25 
1 37 23.49 25 
1 38 23.55 25 
1 39 23.63 25 
1 40 23.71 25 
1 41 23.79 25 
1 42 23.96 25 
1 43 24.11 25 
1 44 24.19 25 
1 45 24.28 26 
1 46 24.45 26 
1 47 24.55 26 
1 48 24.63 26 
1 49 24.86 26 
1 50 24.92 26 
1 51 24.98 26 
1 52 25.2 26 
1 53 25.34 27 
1 54 25.5 27 
1 55 25.73 27 
1 56 25.91 27 
1 57 26.03 27 
1 58 26.12 27 
1 59 26.23 27 
1 60 26.4 28 
1 61 26.5 28 
1 62 26.61 28 
1 63 26.67 28 
1 64 26.72 28 
1 65 26.9 28 
1 66 27.1 28 
1 67 27.43 29 
1 68 27.54 29 
1 69 27.64 29 
1 70 27.76 29 
1 71 27.89 29 
1 72 28.09 29 
1 73 28.28 30 
1 74 28.38 30 
1 75 28.53 30 
1 76 28.63 30 
1 77 28.74 30 
1 78 28.81 30 
1 79 28.97 30 
1 80 29.07 30 
1 81 29.26 31 
1 82 29.47 31 
1 83 29.66 31 
1 84 29.79 31 
1 85 29.89 31 
1 86 30.09 31 
1 87 30.18 31 
1 88 30.32 32 
1 89 30.53 32 
1 90 30.73 32 
1 91 30.9 32 
1 92 31.09 32 
1 93 31.3 33 
1 94 31.47 33 
1 95 31.58 33 
1 96 31.69 33 
1 97 31.82 33 
1 98 32.06 33 
1 99 32.29 34 
1 100 32.51 34 
1 101 32.76 34 
1 102 33.07 34 
1 103 33.3 35 
1 104 33.51 35 
1 105 33.76 35 
1 106 33.93 35 
1 107 34.16 35 
1 108 34.36 36 
1 109 34.58 36 
1 110 34.81 36 
1 111 35.04 36 
1 112 35.22 36 
1 113 35.44 37 
1 114 35.67 37 
1 115 35.9 37 
1 116 36.13 37 
1 117 36.36 38 
1 118 36.59 38 
1 119 36.81 38 
1 120 37.04 38 
1 121 37.28 39 
