Time iteration ExecutionTime CPUTime
1 0 0.91 1 
1 1 1.7 2 
1 2 2.49 2 
1 3 3.21 3 
1 4 3.99 4 
1 5 4.77 5 
1 6 5.54 6 
1 7 6.32 6 
1 8 7.08 7 
1 9 7.83 8 
1 10 8.57 9 
1 11 9.32 9 
1 12 10.06 10 
1 13 10.8 11 
1 14 11.54 11 
1 15 12.28 12 
1 16 13.01 13 
1 17 13.74 14 
1 18 14.48 14 
1 19 15.22 15 
1 20 20.5 20 
1 21 20.6 21 
1 22 20.68 21 
1 23 20.77 21 
1 24 20.83 21 
1 25 20.91 21 
1 26 20.99 21 
1 27 21.07 21 
1 28 21.16 21 
1 29 21.25 21 
1 30 21.34 21 
1 31 21.4 21 
1 32 21.52 21 
1 33 21.65 22 
1 34 21.72 22 
1 35 21.79 22 
1 36 21.94 22 
1 37 22.07 22 
1 38 22.14 22 
1 39 22.22 22 
1 40 22.32 22 
1 41 22.41 22 
1 42 22.55 23 
1 43 22.67 23 
1 44 22.74 23 
1 45 22.82 23 
1 46 22.96 23 
1 47 23.05 23 
1 48 23.13 23 
1 49 23.36 23 
1 50 23.43 23 
1 51 23.48 23 
1 52 23.69 24 
1 53 23.79 24 
1 54 23.94 24 
1 55 24.16 24 
1 56 24.33 24 
1 57 24.43 24 
1 58 24.5 24 
1 59 24.61 25 
1 60 24.79 25 
1 61 24.89 25 
1 62 25.01 25 
1 63 25.06 25 
1 64 25.13 25 
1 65 25.3 25 
1 66 25.52 25 
1 67 25.82 26 
1 68 25.93 26 
1 69 26.04 26 
1 70 26.14 26 
1 71 26.27 26 
1 72 26.48 26 
1 73 26.67 27 
1 74 26.77 27 
1 75 26.91 27 
1 76 27.01 27 
1 77 27.12 27 
1 78 27.19 27 
1 79 27.34 27 
1 80 27.44 27 
1 81 27.64 28 
1 82 27.84 28 
1 83 28.04 28 
1 84 28.18 28 
1 85 28.27 28 
1 86 28.46 28 
1 87 28.56 29 
1 88 28.71 29 
1 89 28.9 29 
1 90 29.11 29 
1 91 29.24 29 
1 92 29.43 29 
1 93 29.63 30 
1 94 29.79 30 
1 95 29.9 30 
1 96 29.99 30 
1 97 30.11 30 
1 98 30.33 30 
1 99 30.56 31 
1 100 30.77 31 
1 101 30.98 31 
1 102 31.17 31 
1 103 31.36 31 
1 104 31.57 32 
1 105 31.82 32 
1 106 31.99 32 
1 107 32.2 32 
1 108 32.39 32 
1 109 32.62 33 
1 110 32.85 33 
1 111 33.07 33 
1 112 33.25 33 
1 113 33.47 33 
1 114 33.71 34 
1 115 33.94 34 
1 116 34.17 34 
1 117 34.39 34 
1 118 34.62 35 
1 119 34.86 35 
1 120 35.11 35 
1 121 35.34 35 
1 122 35.57 36 
1 123 35.81 36 
1 124 36.05 36 
1 125 36.29 36 
1 126 36.53 36 
1 127 36.78 37 
1 128 37.06 37 
1 129 37.33 37 
1 130 37.6 38 
1 131 37.87 38 
1 132 38.16 38 
1 133 38.56 39 
1 134 38.85 39 
1 135 39.23 39 
1 136 39.51 39 
1 137 39.91 40 
1 138 40.19 40 
1 139 40.48 40 
1 140 40.92 41 
1 141 41.35 41 
1 142 41.63 42 
1 143 41.94 42 
1 144 42.37 42 
1 145 42.8 43 
1 146 43.08 43 
1 147 43.44 43 
1 148 43.82 44 
1 149 44.2 44 
1 150 44.69 45 
1 151 45.15 45 
1 152 45.5 45 
1 153 45.86 46 
1 154 46.34 46 
1 155 46.8 47 
1 156 47.16 47 
1 157 47.53 48 
1 158 48.07 48 
1 159 48.56 49 
1 160 48.92 49 
1 161 49.4 49 
1 162 49.86 50 
1 163 50.21 50 
1 164 50.68 51 
1 165 51.16 51 
1 166 51.52 51 
1 167 51.99 52 
1 168 52.5 53 
1 169 52.91 54 
1 170 53.42 54 
1 171 53.79 55 
1 172 54.18 55 
1 173 54.67 56 
1 174 55.03 56 
1 175 55.42 56 
1 176 55.91 57 
1 177 56.29 57 
1 178 56.66 58 
1 179 57.17 58 
1 180 57.52 58 
1 181 57.9 59 
1 182 58.26 59 
1 183 58.72 60 
1 184 59.03 60 
1 185 59.36 60 
1 186 59.68 61 
1 187 60.01 61 
1 188 60.34 61 
1 189 60.59 62 
1 190 60.84 62 
1 191 61.15 62 
1 192 61.35 62 
1 193 61.64 63 
1 194 61.83 63 
1 195 62.01 63 
1 196 62.19 63 
1 197 62.36 63 
1 198 62.53 64 
1 199 62.59 64 
1 200 62.65 64 
1 201 62.7 64 
1 202 62.75 64 
1 203 62.8 64 
1 204 62.85 64 
1 205 62.89 64 
1 206 62.94 64 
1 207 62.99 64 
1 208 63.03 64 
1 209 63.08 64 
1 210 63.13 64 
1 211 63.18 64 
