Time iteration ExecutionTime CPUTime
1 0 1 1 
1 1 2.11 0.306954 
1 2 3.16 0.156481 
1 3 4.04 0.0855437 
1 4 4.99 0.053182 
1 5 5.9 0.0361385 
1 6 6.81 0.025715 
1 7 7.76 0.0200902 
1 8 8.72 0.0169294 
1 9 9.64 0.0146219 
1 10 10.56 0.0128456 
1 11 11.47 0.0114463 
1 12 12.4 0.0102931 
1 13 13.39 0.00932219 
1 14 14.37 0.00848846 
1 15 15.47 0.00776219 
1 16 16.48 0.00712048 
1 17 17.51 0.00655324 
1 18 18.5 0.00604595 
1 19 19.59 0.0055902 
1 20 25.22 4.86917e-07 
1 21 25.33 1.57553e-07 
1 22 25.45 6.46606e-08 
1 23 25.57 5.14756e-08 
1 24 25.67 2.8488e-08 
1 25 25.77 2.84528e-08 
1 26 25.89 2.41127e-08 
1 27 26.01 2.82739e-08 
1 28 26.13 2.21958e-08 
1 29 26.25 2.42459e-08 
1 30 26.37 2.04714e-08 
1 31 26.45 8.51419e-09 
1 32 26.62 3.94832e-08 
1 33 26.78 2.29876e-08 
1 34 26.86 5.02096e-09 
1 35 26.94 5.66701e-09 
1 36 27.13 3.57626e-08 
1 37 27.28 1.92429e-08 
1 38 27.36 3.50443e-09 
1 39 27.45 4.91069e-09 
1 40 27.55 5.27543e-09 
1 41 27.64 4.73279e-09 
1 42 27.81 2.55701e-08 
1 43 27.96 1.1388e-08 
1 44 28.05 2.43878e-09 
1 45 28.14 3.18855e-09 
1 46 28.31 1.86566e-08 
1 47 28.42 3.17583e-09 
1 48 28.53 2.28829e-09 
1 49 28.82 1.44431e-08 
1 50 28.91 1.32638e-09 
1 51 28.97 7.2184e-10 
1 52 29.26 1.46973e-08 
1 53 29.39 2.76927e-09 
1 54 29.58 1.09033e-08 
1 55 29.86 1.3043e-08 
1 56 30.08 1.04633e-08 
1 57 30.21 2.19621e-09 
1 58 30.29 7.49813e-10 
1 59 30.41 1.88691e-09 
1 60 30.62 7.67729e-09 
1 61 30.75 2.06279e-09 
1 62 30.9 1.80073e-09 
1 63 30.97 2.75726e-10 
1 64 31.04 5.03818e-10 
1 65 31.25 6.21413e-09 
1 66 31.52 6.75791e-09 
1 67 31.92 7.49277e-09 
1 68 32.06 1.26047e-09 
1 69 32.21 1.54326e-09 
1 70 32.34 1.14641e-09 
1 71 32.5 2.41362e-09 
1 72 32.78 3.94613e-09 
1 73 33.01 2.64369e-09 
1 74 33.13 7.41917e-10 
1 75 33.33 2.03216e-09 
1 76 33.46 7.80662e-10 
1 77 33.6 6.66198e-10 
1 78 33.69 1.79931e-10 
1 79 33.91 1.82242e-09 
1 80 34.04 7.17516e-10 
1 81 34.29 1.51544e-09 
1 82 34.54 1.60424e-09 
1 83 34.79 1.46861e-09 
1 84 34.96 5.8935e-10 
1 85 35.09 4.31535e-10 
1 86 35.31 1.18156e-09 
1 87 35.46 4.52409e-10 
1 88 35.74 7.8634e-10 
1 89 36.08 9.4006e-10 
1 90 36.37 8.28287e-10 
1 91 36.59 4.09937e-10 
1 92 36.83 6.41267e-10 
1 93 37.08 5.6097e-10 
1 94 37.28 5.71562e-10 
1 95 37.4 2.80177e-10 
1 96 37.52 2.6614e-10 
1 97 37.68 2.86392e-10 
1 98 37.94 5.08459e-10 
1 99 38.2 4.28431e-10 
1 100 38.44 4.18463e-10 
1 101 38.69 3.33562e-10 
1 102 38.92 3.40428e-10 
1 103 39.14 2.46414e-10 
1 104 39.38 3.06605e-10 
1 105 39.66 2.90048e-10 
1 106 39.86 1.91133e-10 
1 107 40.11 2.44049e-10 
1 108 40.33 1.86652e-10 
1 109 40.59 2.14546e-10 
1 110 40.86 2.00728e-10 
1 111 41.13 1.85773e-10 
1 112 41.34 1.41121e-10 
1 113 41.58 1.64034e-10 
1 114 41.88 1.52643e-10 
1 115 42.16 1.42445e-10 
1 116 42.45 1.32007e-10 
1 117 42.74 1.23849e-10 
1 118 43.01 1.16364e-10 
1 119 43.28 1.0915e-10 
1 120 43.58 1.02347e-10 
1 121 43.85 9.58874e-11 
