Time iteration ExecutionTime CPUTime
1 0 1.19 1 
1 1 2.51 0.306954 
1 2 3.6 0.156481 
1 3 4.47 0.0855437 
1 4 5.36 0.053182 
1 5 6.35 0.0361385 
1 6 7.26 0.025715 
1 7 8.16 0.0200902 
1 8 9.09 0.0169294 
1 9 10.01 0.0146219 
1 10 10.97 0.0128456 
1 11 11.92 0.0114463 
1 12 12.85 0.0102931 
1 13 13.95 0.00932219 
1 14 15.09 0.00848846 
1 15 16.04 0.00776219 
1 16 17.01 0.00712048 
1 17 17.89 0.00655324 
1 18 18.82 0.00604595 
1 19 19.74 0.0055902 
1 20 27.69 1.1623e-06 
1 21 27.82 2.07904e-07 
1 22 27.93 1.36394e-07 
1 23 28.03 8.4504e-08 
1 24 28.11 7.01997e-08 
1 25 28.26 8.48325e-08 
1 26 28.33 3.53599e-08 
1 27 28.41 2.90781e-08 
1 28 28.54 5.51186e-08 
1 29 28.67 5.94537e-08 
1 30 28.75 1.66474e-08 
1 31 28.82 1.30205e-08 
1 32 28.96 4.70585e-08 
1 33 29.1 7.01834e-08 
1 34 29.27 3.42424e-08 
1 35 29.37 1.87479e-08 
1 36 29.59 5.31604e-08 
1 37 29.87 1.11822e-07 
1 38 30 2.59501e-08 
1 39 30.07 4.76628e-09 
1 40 30.16 7.11243e-09 
1 41 30.24 3.79443e-09 
1 42 30.36 9.36826e-09 
1 43 30.42 3.22858e-09 
1 44 30.63 3.38016e-08 
1 45 30.79 2.2354e-08 
1 46 31 2.49464e-08 
1 47 31.18 1.25833e-08 
1 48 31.44 1.92002e-08 
1 49 31.6 9.63911e-09 
1 50 31.66 1.55637e-09 
1 51 31.95 3.80028e-08 
1 52 32.17 1.52819e-08 
1 53 32.33 6.1271e-09 
1 54 32.4 1.11093e-09 
1 55 32.51 3.77158e-09 
1 56 32.72 9.98923e-09 
1 57 32.87 5.56634e-09 
1 58 33.06 8.42354e-09 
1 59 33.19 3.98164e-09 
1 60 33.4 7.0612e-09 
1 61 33.59 3.42651e-09 
1 62 33.85 5.50891e-09 
1 63 34 2.95822e-09 
1 64 34.14 2.61816e-09 
1 65 34.27 2.4439e-09 
1 66 34.5 4.4054e-09 
1 67 34.67 2.24977e-09 
1 68 34.92 3.67479e-09 
1 69 35.05 1.91903e-09 
1 70 35.3 3.02103e-09 
1 71 35.5 1.91599e-09 
1 72 35.72 2.35142e-09 
1 73 35.8 6.26455e-10 
1 74 35.86 2.09796e-10 
1 75 36.16 5.61556e-09 
1 76 36.38 2.36782e-09 
1 77 36.63 1.67263e-09 
1 78 36.88 1.36735e-09 
1 79 37.14 1.30604e-09 
1 80 37.35 1.00407e-09 
1 81 37.48 1.09524e-09 
1 82 37.66 9.32252e-10 
1 83 37.78 1.10328e-09 
1 84 37.98 8.25059e-10 
1 85 38.13 1.08319e-09 
1 86 38.41 1.20421e-09 
1 87 38.67 1.15048e-09 
1 88 38.96 1.11284e-09 
1 89 39.28 1.12049e-09 
1 90 39.56 1.02641e-09 
1 91 39.83 9.82263e-10 
1 92 40.11 9.37168e-10 
1 93 40.42 8.88964e-10 
1 94 40.69 8.41346e-10 
1 95 40.98 7.92784e-10 
1 96 41.29 7.452e-10 
1 97 41.57 6.98399e-10 
1 98 41.94 6.55411e-10 
1 99 42.24 6.12364e-10 
1 100 42.61 5.72963e-10 
1 101 43.03 5.34623e-10 
1 102 43.53 5.02202e-10 
1 103 43.99 4.58562e-10 
1 104 44.36 4.30367e-10 
1 105 44.91 4.27548e-10 
1 106 45.45 4.29889e-10 
1 107 45.83 3.82215e-10 
1 108 46.12 3.82896e-10 
1 109 46.53 3.17749e-10 
1 110 46.82 3.38169e-10 
1 111 47.11 3.35693e-10 
1 112 47.4 3.15892e-10 
1 113 47.83 2.41834e-10 
1 114 48.11 2.77644e-10 
1 115 48.52 2.54045e-10 
1 116 48.97 2.21266e-10 
1 117 49.25 2.5558e-10 
1 118 49.55 2.49359e-10 
1 119 49.9 2.2163e-10 
1 120 50.28 2.09402e-10 
1 121 50.73 1.638e-10 
1 122 51.17 1.69443e-10 
1 123 51.51 1.82085e-10 
1 124 51.97 1.53413e-10 
1 125 52.29 1.75103e-10 
1 126 52.75 1.31627e-10 
1 127 53.21 1.30839e-10 
1 128 53.54 1.55078e-10 
1 129 53.92 1.39656e-10 
1 130 54.34 1.30633e-10 
1 131 54.84 1.03505e-10 
1 132 55.31 1.00898e-10 
1 133 55.79 1.02769e-10 
1 134 56.15 1.14864e-10 
1 135 56.54 1.07892e-10 
1 136 56.94 1.00722e-10 
1 137 57.44 8.04522e-11 
