Time iteration ExecutionTime CPUTime
1 0 1.07 2 
1 1 1.98 2 
1 2 2.9 3 
1 3 3.75 4 
1 4 4.8 5 
1 5 6 6 
1 6 7.18 8 
1 7 8.23 9 
1 8 9.3 10 
1 9 10.31 11 
1 10 11.35 12 
1 11 12.34 13 
1 12 13.32 14 
1 13 14.24 15 
1 14 15.12 16 
1 15 16.04 17 
1 16 16.94 17 
1 17 17.81 18 
1 18 18.68 19 
1 19 19.55 20 
1 20 20.41 21 
1 21 21.27 22 
1 22 22.12 23 
1 23 22.96 23 
1 24 23.81 24 
1 25 24.66 25 
1 26 25.53 26 
1 27 26.37 27 
1 28 27.22 28 
1 29 28.1 29 
1 30 29.01 29 
1 31 30.03 30 
1 32 31.11 32 
1 33 32.15 33 
1 34 33.16 34 
1 35 34.19 35 
1 36 35.45 36 
1 37 36.56 37 
1 38 37.67 38 
1 39 38.72 39 
1 40 44.1 45 
1 41 44.22 45 
1 42 44.43 45 
1 43 44.79 45 
1 44 44.91 45 
1 45 45.06 46 
1 46 45.14 46 
1 47 45.53 46 
1 48 45.68 46 
1 49 46 46 
1 50 46.22 47 
1 51 46.37 47 
1 52 46.87 47 
1 53 47.13 48 
1 54 47.27 48 
1 55 47.5 48 
1 56 47.63 48 
1 57 47.97 48 
1 58 48.11 49 
1 59 48.24 49 
1 60 48.32 49 
1 61 48.47 49 
1 62 48.55 49 
1 63 48.7 49 
1 64 49.14 50 
1 65 49.39 50 
1 66 49.75 50 
1 67 50.03 51 
1 68 50.3 51 
1 69 50.62 51 
1 70 50.88 51 
1 71 51.16 52 
1 72 51.36 52 
1 73 51.59 52 
1 74 51.83 52 
1 75 52.09 53 
1 76 52.43 53 
1 77 52.67 53 
1 78 52.98 53 
1 79 53.21 54 
1 80 53.58 54 
1 81 53.8 54 
1 82 54.16 55 
1 83 54.46 55 
1 84 54.81 55 
1 85 55.09 56 
1 86 55.47 56 
1 87 55.73 56 
1 88 56.27 57 
1 89 56.71 57 
1 90 57 57 
1 91 57.38 58 
1 92 57.95 58 
1 93 58.37 59 
1 94 58.67 59 
1 95 59.22 60 
1 96 59.58 60 
1 97 60 60 
1 98 60.48 61 
1 99 60.88 61 
1 100 61.5 62 
1 101 62.01 62 
1 102 62.61 63 
1 103 63.27 64 
1 104 63.84 64 
1 105 64.49 65 
1 106 65 65 
1 107 65.75 66 
1 108 66.3 67 
1 109 66.97 67 
1 110 67.4 68 
1 111 68 68 
1 112 68.48 69 
1 113 69.06 70 
1 114 69.9 70 
1 115 70.53 71 
1 116 71.12 72 
1 117 71.53 72 
1 118 72.11 73 
1 119 72.53 73 
1 120 73.28 74 
1 121 73.87 74 
1 122 74.48 75 
1 123 74.9 75 
1 124 75.68 76 
1 125 76.27 77 
1 126 76.89 77 
1 127 77.45 78 
1 128 78.05 79 
1 129 78.64 79 
1 130 79.21 80 
1 131 79.81 80 
1 132 80.44 81 
1 133 80.98 81 
1 134 81.64 82 
1 135 82.38 83 
1 136 83 83 
1 137 83.67 84 
1 138 84.19 85 
1 139 84.89 85 
1 140 85.67 86 
1 141 86.31 87 
1 142 86.96 87 
1 143 87.56 88 
1 144 88.19 89 
1 145 88.85 89 
1 146 89.58 90 
1 147 90.41 91 
1 148 91.05 92 
1 149 91.77 92 
1 150 92.59 93 
1 151 93.28 94 
1 152 93.97 94 
1 153 94.77 95 
1 154 95.45 96 
1 155 96.12 97 
1 156 97.01 97 
1 157 97.7 98 
1 158 98.39 99 
1 159 99.25 100 
1 160 99.88 100 
1 161 100.55 101 
1 162 101.45 102 
1 163 102.18 103 
1 164 102.87 103 
1 165 103.67 104 
1 166 104.31 105 
1 167 104.96 105 
1 168 105.76 106 
1 169 106.42 107 
1 170 107.11 108 
1 171 107.92 108 
1 172 108.56 109 
1 173 109.35 110 
1 174 109.99 110 
1 175 110.64 111 
1 176 111.44 112 
1 177 112.07 113 
1 178 112.88 113 
1 179 113.53 114 
1 180 114.34 115 
