Time iteration ExecutionTime CPUTime
1 0 1.17 1 
1 1 1.27 0.0429885 
1 2 1.34 0.0154142 
1 3 1.42 0.00797775 
1 4 1.49 0.00591831 
1 5 1.56 0.00481226 
1 6 1.64 0.00423084 
1 7 1.99 1.4982 
1 8 2.08 0.00770875 
1 9 2.15 0.00449207 
1 10 2.24 0.00372997 
1 11 2.31 0.00297612 
1 12 2.38 0.00244595 
1 13 2.45 0.00275607 
1 14 2.53 0.00226639 
1 15 2.7 0.0895976 
1 16 2.77 0.00144215 
1 17 3.17 0.992682 
1 18 3.27 0.013033 
1 19 3.38 0.00222346 
1 20 3.47 0.00199514 
1 21 3.54 0.00179874 
1 22 3.61 0.00162739 
1 23 3.69 0.0014763 
1 24 3.82 0.031602 
1 25 3.89 0.00123687 
1 26 3.97 0.00112354 
1 27 4.06 0.0010225 
1 28 4.45 0.664771 
1 29 4.63 0.124558 
1 30 4.7 0.00144548 
1 31 4.77 0.00129716 
1 32 4.85 0.00117077 
1 33 4.91 0.00106122 
1 34 4.98 0.000964918 
1 35 5.06 0.000879412 
1 36 5.23 0.0866099 
1 37 5.57 0.369716 
1 38 5.77 0.0647278 
1 39 5.84 0.000818973 
1 40 5.92 0.000721987 
1 41 5.99 0.00065216 
1 42 6.05 0.000592113 
1 43 6.25 0.0718242 
1 44 6.37 0.0208551 
1 45 6.44 0.000466724 
1 46 6.51 0.000424102 
1 47 6.58 0.000420294 
1 48 7.13 0.181008 
1 49 7.35 0.0329316 
1 50 7.41 0.000431892 
1 51 7.61 0.0397098 
1 52 7.72 0.00949485 
1 53 7.8 0.000356919 
1 54 7.87 0.000358866 
1 55 8.09 0.0555104 
1 56 8.44 0.037679 
1 57 8.51 0.000326569 
1 58 8.87 0.0862384 
1 59 9.12 0.0157821 
1 60 9.23 0.00399926 
1 61 9.42 0.026136 
1 62 9.8 0.0265338 
1 63 9.86 0.000288632 
1 64 9.93 0.000288922 
1 65 10.18 0.0310549 
1 66 10.52 0.0160068 
1 67 10.96 0.0275471 
1 68 11.24 0.0104818 
1 69 11.7 0.0397852 
1 70 12.12 0.0201823 
1 71 12.51 0.0158854 
1 72 12.78 0.00815058 
1 73 13.17 0.0151619 
1 74 13.46 0.00735035 
1 75 13.89 0.0145967 
1 76 14.31 0.013718 
1 77 14.61 0.00680396 
1 78 15.18 0.0222683 
1 79 15.74 0.0109151 
1 80 16.14 0.00896755 
1 81 16.62 0.00809287 
1 82 17.23 0.00890166 
1 83 17.71 0.00791057 
1 84 18.18 0.00698645 
1 85 18.66 0.00629168 
1 86 19.22 0.00754773 
1 87 19.69 0.00615348 
1 88 20.28 0.00588287 
1 89 20.97 0.0062085 
1 90 21.51 0.00488921 
1 91 22.17 0.00517104 
1 92 22.72 0.00408901 
1 93 23.27 0.00383433 
1 94 24.04 0.00433152 
