Time iteration ExecutionTime CPUTime
1 0 1.13 1 
1 1 2.2 2 
1 2 3.22 3 
1 3 4.04 4 
1 4 4.94 4 
1 5 5.81 5 
1 6 6.7 6 
1 7 7.57 7 
1 8 8.43 8 
1 9 9.279999999999999 9 
1 10 10.11 10 
1 11 10.93 10 
1 12 11.78 11 
1 13 12.59 12 
1 14 13.42 13 
1 15 14.24 14 
1 16 15.08 15 
1 17 15.91 15 
1 18 16.73 16 
1 19 17.56 17 
1 20 18.4 18 
1 21 19.23 19 
1 22 20.05 20 
1 23 20.88 20 
1 24 21.86 21 
1 25 22.72 22 
1 26 23.53 23 
1 27 24.36 24 
1 28 25.19 25 
1 29 26 26 
1 30 26.82 26 
1 31 27.62 27 
1 32 28.45 28 
1 33 29.26 29 
1 34 30.09 30 
1 35 31.03 32 
1 36 31.94 33 
1 37 32.87 33 
1 38 33.74 34 
1 39 34.62 35 
1 40 35.52 36 
1 41 36.33 37 
1 42 37.2 38 
1 43 38.12 39 
1 44 39 40 
1 45 39.91 41 
1 46 40.87 41 
1 47 41.7 42 
1 48 42.58 43 
1 49 43.42 44 
1 50 44.35 45 
1 51 45.24 46 
1 52 46.1 47 
1 53 47.09 48 
1 54 47.98 49 
1 55 49.12 50 
1 56 50.09 51 
1 57 50.98 52 
1 58 51.88 52 
1 59 52.77 53 
1 60 53.74 54 
1 61 54.74 55 
1 62 55.75 56 
1 63 56.57 57 
1 64 57.4 58 
1 65 58.29 59 
1 66 59.12 60 
1 67 60.03 61 
1 68 60.93 62 
1 69 61.96 63 
1 70 62.98 64 
1 71 63.93 65 
1 72 64.90000000000001 66 
1 73 65.83 66 
1 74 66.72 67 
1 75 67.65000000000001 68 
1 76 68.56 69 
1 77 69.54000000000001 70 
1 78 70.41 71 
1 79 71.23 72 
1 80 72.18000000000001 73 
1 81 73.08 74 
1 82 73.98 75 
1 83 74.87 75 
1 84 75.84 76 
1 85 76.73999999999999 77 
1 86 77.56999999999999 78 
1 87 78.45 79 
1 88 79.37 80 
1 89 80.23999999999999 81 
1 90 81.14 82 
1 91 81.97 83 
1 92 82.8 83 
1 93 83.67 84 
1 94 84.54000000000001 85 
1 95 85.40000000000001 86 
1 96 86.27 87 
1 97 87.09999999999999 88 
1 98 87.92 89 
1 99 88.77 89 
1 100 89.7 90 
1 101 90.61 91 
1 102 91.52 92 
1 103 92.47 93 
1 104 93.34 94 
1 105 94.29000000000001 95 
1 106 95.15000000000001 96 
1 107 96.09 97 
1 108 96.95999999999999 98 
1 109 97.83 98 
1 110 98.79000000000001 99 
1 111 99.77 100 
1 112 100.73 101 
1 113 101.67 102 
1 114 102.6 103 
1 115 103.51 104 
1 116 104.46 105 
1 117 105.37 106 
1 118 106.4 107 
1 119 107.54 108 
1 120 108.47 109 
1 121 109.67 110 
1 122 111.1 112 
1 123 112.57 113 
1 124 113.93 115 
1 125 115.29 116 
1 126 116.67 117 
1 127 118.05 119 
1 128 119.51 120 
1 129 121.02 122 
1 130 122.47 123 
1 131 124.04 125 
1 132 125.39 126 
1 133 126.77 127 
1 134 128.28 129 
1 135 129.62 130 
1 136 131.01 132 
1 137 132.35 133 
1 138 133.82 134 
1 139 135.26 136 
1 140 136.75 137 
1 141 138.19 139 
1 142 139.58 140 
1 143 140.94 142 
1 144 142.27 143 
1 145 143.6 144 
1 146 144.96 146 
1 147 146.35 147 
1 148 147.68 148 
1 149 149.16 150 
1 150 150.64 151 
1 151 152.08 153 
1 152 153.07 154 
1 153 154.08 155 
1 154 155.04 156 
1 155 155.99 157 
1 156 157.01 158 
1 157 158.1 159 
1 158 159.02 160 
1 159 159.87 160 
1 160 160.82 161 
1 161 161.79 162 
1 162 162.91 164 
1 163 163.95 165 
1 164 164.84 165 
1 165 165.76 166 
1 166 166.69 167 
1 167 167.61 168 
1 168 168.54 169 
1 169 169.42 170 
1 170 170.43 171 
1 171 171.6 172 
1 172 172.57 173 
1 173 173.58 174 
1 174 174.48 175 
1 175 175.46 176 
1 176 176.5 177 
1 177 177.38 178 
1 178 178.31 179 
1 179 179.28 180 
1 180 180.24 181 
1 181 181.12 182 
1 182 182.06 183 
1 183 183.01 184 
1 184 183.94 185 
1 185 184.93 186 
1 186 185.89 187 
1 187 187.05 188 
1 188 188.2 189 
1 189 189.41 190 
1 190 190.6 191 
1 191 191.67 192 
1 192 192.62 193 
1 193 193.64 194 
1 194 194.71 195 
1 195 195.77 196 
1 196 196.78 197 
1 197 197.8 198 
1 198 198.9 200 
1 199 199.86 200 
1 200 200.96 202 
1 201 201.98 203 
1 202 202.96 204 
1 203 203.99 205 
1 204 204.9 206 
1 205 205.95 207 
1 206 206.96 208 
1 207 207.95 209 
1 208 208.91 210 
1 209 209.81 210 
1 210 210.77 211 
1 211 211.65 212 
1 212 212.58 213 
1 213 213.58 214 
1 214 214.73 215 
1 215 215.78 216 
1 216 216.87 217 
1 217 217.91 219 
1 218 218.95 220 
1 219 219.86 220 
1 220 220.99 222 
