Time iteration ExecutionTime CPUTime
1 0 1.03 1 
1 1 2.06 2 
1 2 3.1 3 
1 3 4.05 4 
1 4 5.02 5 
1 5 6.08 6 
1 6 7.13 7 
1 7 8.11 8 
1 8 9.13 9 
1 9 10.15 10 
1 10 11.11 11 
1 11 12.04 12 
1 12 12.99 13 
1 13 13.94 14 
1 14 14.95 15 
1 15 15.92 16 
1 16 16.97 17 
1 17 17.97 18 
1 18 18.91 19 
1 19 19.92 20 
1 20 25.22 25 
1 21 25.34 25 
1 22 25.45 25 
1 23 25.57 25 
1 24 25.67 25 
1 25 25.78 26 
1 26 25.9 26 
1 27 26.02 26 
1 28 26.13 26 
1 29 26.26 26 
1 30 26.38 26 
1 31 26.49 26 
1 32 26.67 26 
1 33 26.85 27 
1 34 26.94 27 
1 35 27.03 27 
1 36 27.2 27 
1 37 27.35 27 
1 38 27.44 27 
1 39 27.54 27 
1 40 27.64 27 
1 41 27.74 28 
1 42 27.9 28 
1 43 28.06 28 
1 44 28.14 28 
1 45 28.24 28 
1 46 28.42 28 
1 47 28.53 28 
1 48 28.62 28 
1 49 28.91 29 
1 50 29 29 
1 51 29.07 29 
1 52 29.34 29 
1 53 29.49 29 
1 54 29.67 29 
1 55 29.94 30 
1 56 30.16 30 
1 57 30.29 30 
1 58 30.37 30 
1 59 30.5 30 
1 60 30.71 30 
1 61 30.84 31 
1 62 31 31 
1 63 31.1 31 
1 64 31.19 31 
1 65 31.42 31 
1 66 31.72 32 
1 67 32.1 32 
1 68 32.24 32 
1 69 32.38 32 
1 70 32.52 32 
1 71 32.69 32 
1 72 32.96 33 
1 73 33.2 33 
1 74 33.35 33 
1 75 33.53 33 
1 76 33.66 33 
1 77 33.82 34 
1 78 33.93 34 
1 79 34.13 34 
1 80 34.26 34 
1 81 34.51 34 
1 82 34.77 35 
1 83 35.02 35 
1 84 35.19 35 
1 85 35.33 35 
1 86 35.56 35 
1 87 35.7 35 
1 88 35.91 36 
1 89 36.17 36 
1 90 36.44 36 
1 91 36.62 36 
1 92 36.85 37 
1 93 37.11 37 
1 94 37.33 37 
1 95 37.46 37 
1 96 37.59 37 
1 97 37.77 38 
1 98 38.03 38 
1 99 38.34 38 
1 100 38.6 38 
1 101 38.88 39 
1 102 39.15 39 
1 103 39.38 39 
1 104 39.65 39 
1 105 39.98 40 
1 106 40.21 40 
1 107 40.5 40 
1 108 40.75 41 
1 109 41.04 41 
1 110 41.39 41 
1 111 41.68 41 
1 112 41.92 42 
1 113 42.2 42 
1 114 42.5 42 
1 115 42.8 43 
1 116 43.11 43 
1 117 43.42 43 
1 118 43.72 44 
1 119 44.04 44 
1 120 44.33 44 
1 121 44.61 44 
