Time iteration ExecutionTime CPUTime
1 0 0.59 1 
1 1 0.67 1.0021 
1 2 0.74 0.264355 
1 3 0.81 0.116473 
1 4 0.86 0.0776125 
1 5 0.95 0.0554778 
1 6 1.03 0.0445088 
1 7 1.11 0.0362954 
1 8 1.2 0.0390129 
1 9 1.29 0.0344696 
1 10 1.35 0.0312497 
1 11 1.42 0.0166075 
1 12 1.69 0.95841 
1 13 1.88 0.143035 
1 14 1.94 0.00192374 
1 15 2.03 0.00163267 
1 16 2.1 0.00144792 
1 17 2.18 0.00130454 
1 18 2.52 0.29066 
1 19 2.91 0.209766 
1 20 2.98 0.000900944 
1 21 3.05 0.000795883 
1 22 3.12 0.000710048 
1 23 3.2 0.000638238 
1 24 3.29 0.000577064 
1 25 3.6 0.155943 
1 26 3.99 0.0988521 
1 27 4.07 0.00044106 
1 28 4.15 0.000390309 
1 29 4.22 0.000349028 
1 30 4.29 0.000314654 
1 31 4.94 0.0839006 
1 32 5.29 0.0363769 
1 33 5.38 0.000285036 
1 34 5.73 0.0499666 
1 35 6.13 0.0294174 
1 36 6.51 0.027918 
1 37 6.74 0.0142919 
1 38 7.01 0.0314621 
1 39 7.38 0.0224044 
1 40 7.73 0.019052 
1 41 7.93 0.0110102 
1 42 8.14 0.0197482 
1 43 8.49 0.0161541 
1 44 8.95 0.0228449 
1 45 9.26 0.0101646 
1 46 9.71 0.0118112 
1 47 10.02 0.00935574 
1 48 10.33 0.00941357 
1 49 10.64 0.00850235 
1 50 11.09 0.00915681 
1 51 11.41 0.00712061 
1 52 11.73 0.00683219 
1 53 12.18 0.00739983 
1 54 12.5 0.00560486 
1 55 12.83 0.00536875 
1 56 13.28 0.00610001 
1 57 13.6 0.00445352 
1 58 13.94 0.00424568 
1 59 14.39 0.0049633 
1 60 14.71 0.00357202 
1 61 15.28 0.00416137 
1 62 15.73 0.00309805 
1 63 16.31 0.00350207 
1 64 16.65 0.00266218 
1 65 17.12 0.00305548 
1 66 17.48 0.00241577 
1 67 17.94 0.00266616 
1 68 18.3 0.0022297 
1 69 18.81 0.00235648 
1 70 19.16 0.00211149 
1 71 19.55 0.00194984 
1 72 20.05 0.00198744 
1 73 20.38 0.00182994 
1 74 21 0.00232362 
1 75 21.37 0.00162636 
1 76 21.89 0.00146428 
1 77 22.23 0.00164146 
1 78 22.6 0.0015603 
1 79 23.11 0.00128738 
1 80 23.47 0.00139254 
1 81 23.98 0.00151106 
1 82 24.49 0.00120178 
1 83 24.86 0.00125582 
1 84 25.24 0.00118281 
1 85 25.76 0.000913947 
1 86 26.26 0.00107266 
1 87 26.78 0.000828309 
1 88 27.16 0.00101266 
1 89 27.56 0.00094861 
1 90 28.24 0.000832535 
1 91 28.65 0.000845729 
1 92 29.18 0.000716411 
1 93 29.69 0.000658601 
1 94 30.22 0.000639955 
1 95 30.6 0.000728177 
1 96 31.02 0.000679714 
1 97 31.58 0.000515994 
1 98 32.13 0.000505361 
1 99 32.67 0.000501366 
1 100 33.08 0.000580106 
1 101 33.65 0.000469056 
1 102 34.2 0.000425766 
1 103 34.76 0.000430363 
1 104 35.18 0.000486309 
1 105 35.84 0.000396712 
1 106 36.39 0.000360707 
1 107 36.95 0.000362031 
1 108 37.36 0.00040419 
1 109 37.95 0.000328743 
1 110 38.5 0.000304018 
1 111 39.09 0.000301631 
1 112 39.52 0.000333838 
1 113 40.16 0.000274288 
1 114 40.74 0.000254955 
1 115 41.32 0.000250566 
1 116 41.82 0.000277376 
1 117 42.57 0.000228739 
1 118 43.16 0.0002127 
1 119 43.78 0.000208241 
1 120 44.27 0.000229978 
1 121 44.95 0.00018962 
1 122 45.61 0.000176937 
1 123 46.28 0.000173081 
1 124 46.81 0.00019051 
1 125 47.66 0.00013009 
1 126 48.5 0.000158154 
1 127 49.07 0.000166339 
1 128 50.04 0.000116039 
1 129 50.85 0.000138424 
1 130 51.59 0.00012692 
1 131 52.43 0.000122701 
1 132 53.11 0.000132383 
1 133 54.51 9.4281e-05 
1 134 55.32 0.00010997 
1 135 56.19 0.000100884 
1 136 57.07 9.72921e-05 
1 137 58.06 9.6822e-05 
1 138 58.87 8.6482e-05 
1 139 59.61 8.46075e-05 
1 140 60.53 7.29792e-05 
1 141 61.38 8.06405e-05 
1 142 62.44 6.81253e-05 
1 143 63.33 7.3948e-05 
1 144 64.37 6.25908e-05 
1 145 65.14 6.74168e-05 
1 146 66.06 5.70866e-05 
1 147 66.81 6.13492e-05 
1 148 67.79 5.20801e-05 
1 149 68.48 5.57652e-05 
1 150 69.43 4.72583e-05 
1 151 70.09 5.06773e-05 
1 152 70.96 4.30028e-05 
1 153 71.66 4.60736e-05 
1 154 72.62 3.90961e-05 
1 155 73.28 4.1853e-05 
1 156 74.22 3.55538e-05 
1 157 74.99 3.80016e-05 
1 158 75.95 3.23029e-05 
1 159 76.7 3.45195e-05 
1 160 77.68 2.9342e-05 
1 161 78.43 3.13423e-05 
1 162 79.4 2.66588e-05 
1 163 80.14 2.84539e-05 
1 164 81.05 2.42118e-05 
1 165 81.85 2.58322e-05 
1 166 82.73 2.19978e-05 
1 167 83.4 2.34487e-05 
1 168 84.29 1.99709e-05 
1 169 85.19 1.96556e-05 
1 170 85.92 2.03898e-05 
1 171 86.89 1.74435e-05 
1 172 88.09 1.70821e-05 
1 173 89.24 1.64491e-05 
1 174 90.22 1.57553e-05 
1 175 91.22 1.50485e-05 
1 176 92.29 1.43645e-05 
1 177 93.56 1.37017e-05 
1 178 94.68 1.30561e-05 
1 179 95.8 1.2445e-05 
1 180 96.84 1.18606e-05 
1 181 97.98 1.12952e-05 
1 182 99.07 1.07623e-05 
1 183 100.11 1.02527e-05 
1 184 101.12 9.76248e-06 
1 185 102.27 9.3003e-06 
1 186 103.5 8.8591e-06 
1 187 104.69 8.43503e-06 
1 188 105.97 8.03476e-06 
1 189 107.04 7.65289e-06 
1 190 108.21 7.2862e-06 
1 191 109.34 6.93994e-06 
1 192 110.35 6.60969e-06 
1 193 111.43 6.29468e-06 
1 194 112.75 5.99306e-06 
1 195 113.88 5.70725e-06 
1 196 114.93 5.43247e-06 
1 197 115.89 5.17386e-06 
1 198 116.92 4.92648e-06 
1 199 117.84 4.69157e-06 
1 200 118.79 4.46767e-06 
