Time iteration ExecutionTime CPUTime
1 0 1.11 1 
1 1 2.19 2 
1 2 3.31 4 
1 3 4.12 4 
1 4 5.06 5 
1 5 5.98 6 
1 6 6.86 7 
1 7 7.7 8 
1 8 8.54 9 
1 9 9.37 10 
1 10 10.2 10 
1 11 11.02 11 
1 12 11.85 12 
1 13 12.66 13 
1 14 13.49 14 
1 15 14.34 15 
1 16 15.16 15 
1 17 15.98 16 
1 18 16.81 17 
1 19 17.64 18 
1 20 18.36 19 
1 21 18.42 19 
1 22 18.47 19 
1 23 18.53 19 
1 24 18.59 19 
1 25 18.65 19 
1 26 18.71 19 
1 27 18.77 19 
1 28 18.83 19 
1 29 18.89 19 
1 30 18.94 19 
1 31 19 19 
1 32 19.06 19 
1 33 19.12 19 
1 34 19.18 19 
1 35 19.24 19 
1 36 19.29 20 
1 37 19.35 20 
1 38 19.41 20 
1 39 19.47 20 
1 40 19.53 20 
1 41 19.6 20 
1 42 19.65 20 
1 43 19.71 20 
1 44 19.77 20 
1 45 19.83 20 
1 46 19.89 20 
1 47 19.95 20 
1 48 20.01 20 
1 49 20.07 20 
1 50 20.13 20 
1 51 20.19 20 
1 52 20.25 20 
1 53 20.31 21 
1 54 20.36 21 
1 55 20.42 21 
1 56 20.48 21 
1 57 20.54 21 
1 58 20.6 21 
1 59 20.66 21 
1 60 20.72 21 
1 61 20.78 21 
1 62 20.84 21 
1 63 20.9 21 
1 64 20.96 21 
1 65 21.02 21 
1 66 21.07 21 
1 67 21.13 21 
1 68 21.2 21 
1 69 21.26 21 
1 70 21.32 22 
1 71 21.38 22 
1 72 21.44 22 
1 73 21.51 22 
1 74 21.57 22 
1 75 21.63 22 
1 76 21.7 22 
1 77 21.76 22 
1 78 21.81 22 
1 79 21.87 22 
1 80 21.94 22 
1 81 22 22 
1 82 22.06 22 
1 83 22.12 22 
1 84 22.19 22 
1 85 22.24 22 
1 86 22.32 23 
1 87 22.38 23 
1 88 22.44 23 
1 89 22.51 23 
1 90 22.58 23 
1 91 22.63 23 
1 92 22.7 23 
1 93 22.77 23 
1 94 22.83 23 
1 95 22.89 23 
1 96 22.96 23 
1 97 23.03 23 
1 98 23.11 23 
1 99 23.17 23 
1 100 23.23 23 
1 101 23.3 24 
1 102 23.38 24 
1 103 23.43 24 
1 104 23.53 24 
1 105 23.6 24 
1 106 23.68 24 
1 107 23.76 24 
1 108 23.9 24 
1 109 24 24 
1 110 24.08 24 
1 111 24.25 24 
1 112 24.42 25 
1 113 24.6 25 
1 114 24.88 25 
1 115 25.06 25 
1 116 25.36 26 
1 117 25.65 26 
1 118 25.87 26 
1 119 26.17 26 
1 120 26.39 27 
1 121 26.68 27 
1 122 26.87 27 
1 123 27.16 27 
1 124 27.33 28 
1 125 27.51 28 
1 126 27.59 28 
1 127 27.65 28 
1 128 27.72 28 
1 129 27.79 28 
1 130 27.84 28 
1 131 27.89 28 
1 132 27.96 28 
1 133 28.02 28 
1 134 28.08 28 
1 135 28.14 28 
1 136 28.2 28 
1 137 28.27 29 
1 138 28.33 29 
1 139 28.39 29 
1 140 28.45 29 
1 141 28.52 29 
1 142 28.57 29 
1 143 28.63 29 
1 144 28.69 29 
1 145 28.74 29 
1 146 28.81 29 
1 147 28.86 29 
