Time iteration ExecutionTime CPUTime
1 0 1.28 2 
1 1 2.56 4 
1 2 3.85 5 
1 3 4.89 6 
1 4 5.94 7 
1 5 6.99 8 
1 6 8.130000000000001 9 
1 7 9.23 10 
1 8 10.27 11 
1 9 11.31 12 
1 10 12.42 14 
1 11 13.41 15 
1 12 14.49 16 
1 13 15.51 17 
1 14 16.49 18 
1 15 17.51 19 
1 16 18.44 20 
1 17 19.47 21 
1 18 20.5 22 
1 19 21.53 23 
1 20 27.28 28 
1 21 27.43 29 
1 22 27.56 29 
1 23 27.68 29 
1 24 27.8 29 
1 25 27.9 29 
1 26 28.01 29 
1 27 28.12 29 
1 28 28.26 29 
1 29 28.38 30 
1 30 28.5 30 
1 31 28.64 30 
1 32 28.75 30 
1 33 28.91 30 
1 34 29.05 30 
1 35 29.15 30 
1 36 29.28 30 
1 37 29.43 31 
1 38 29.55 31 
1 39 29.66 31 
1 40 29.85 31 
1 41 29.99 31 
1 42 30.11 31 
1 43 30.21 31 
1 44 30.35 32 
1 45 30.5 32 
1 46 30.66 32 
1 47 30.76 32 
1 48 30.9 32 
1 49 31.07 32 
1 50 31.25 32 
1 51 31.41 33 
1 52 31.77 33 
1 53 31.91 33 
1 54 32.03 33 
1 55 32.21 33 
1 56 32.35 34 
1 57 32.58 34 
1 58 32.76 34 
1 59 32.96 34 
1 60 33.13 34 
1 61 33.48 35 
1 62 33.7 35 
1 63 33.99 35 
1 64 34.18 35 
1 65 34.41 36 
1 66 34.78 36 
1 67 35.07 36 
1 68 35.32 36 
1 69 35.68 37 
1 70 36.01 37 
1 71 36.36 38 
1 72 36.72 38 
1 73 37.14 38 
1 74 37.48 39 
1 75 37.95 39 
1 76 38.36 40 
1 77 38.81 40 
1 78 39.24 40 
1 79 39.64 41 
1 80 40.23 41 
1 81 40.7 42 
1 82 41.1 42 
1 83 41.7 43 
1 84 42.06 43 
1 85 42.48 44 
1 86 43.05 44 
1 87 43.43 45 
1 88 43.88 45 
1 89 44.32 45 
1 90 44.88 46 
1 91 45.32 46 
1 92 45.96 47 
1 93 46.6 48 
1 94 47.02 48 
1 95 47.44 49 
1 96 47.87 49 
1 97 48.46 50 
1 98 49.04 50 
1 99 49.62 51 
1 100 50.03 51 
1 101 50.62 52 
1 102 51.26 52 
1 103 51.79 53 
1 104 52.39 54 
1 105 53.09 54 
1 106 53.83 55 
1 107 54.65 56 
1 108 55.17 56 
1 109 55.81 57 
1 110 56.63 58 
1 111 57.41 59 
1 112 58.02 59 
1 113 58.63 60 
1 114 59.18 60 
1 115 60.05 61 
1 116 60.89 62 
1 117 61.63 63 
1 118 62.12 63 
1 119 62.66 64 
1 120 63.49 65 
1 121 64.02 65 
1 122 64.73999999999999 66 
1 123 65.52 67 
1 124 66.3 67 
1 125 66.84999999999999 68 
1 126 67.79000000000001 69 
1 127 68.28 69 
1 128 68.95 70 
1 129 69.62 71 
1 130 70.3 71 
1 131 70.86 72 
1 132 71.67 73 
1 133 72.2 73 
1 134 72.81999999999999 74 
1 135 73.48999999999999 75 
1 136 74.13 75 
1 137 74.75 76 
1 138 75.48999999999999 77 
1 139 76.17 77 
1 140 76.79000000000001 78 
1 141 77.40000000000001 79 
1 142 78.02 79 
1 143 78.64 80 
1 144 79.26000000000001 80 
1 145 79.87 81 
1 146 80.5 82 
1 147 81.11 82 
1 148 81.73999999999999 83 
1 149 82.34999999999999 84 
1 150 82.97 84 
1 151 83.59999999999999 85 
1 152 84.23 85 
