# Time dispX dispY dispZ forceX forceY forceZ
0 0 0 0 0 0 0
1 1.0668e-06 -8.20684e-08 4.84036e-06 100000 -0.00155573 5.33941e-13
2 2.1336e-06 -1.64137e-07 2.96929e-06 200000 -0.00306849 2.58387e-12
3 3.2004e-06 -2.46205e-07 2.06152e-06 300000 -0.00504781 -1.66053e-13
4 4.26721e-06 -3.28274e-07 1.95254e-06 400000 -0.00622116 -3.39039e-12
5 5.33401e-06 -4.10342e-07 1.35967e-06 500000 -0.00510512 2.36143e-12
6 6.40081e-06 -4.92408e-07 1.36761e-06 600000 0.0103488 1.12582e-12
7 7.46761e-06 -5.74477e-07 5.81103e-07 700000 0.0130889 1.23133e-12
8 8.53441e-06 -6.56545e-07 1.10746e-09 800000 0.0102463 -2.41325e-12
9 9.60122e-06 -7.38613e-07 -4.2607e-07 900000 0.0143841 -8.90185e-12
10 1.0668e-05 -8.20681e-07 -7.60692e-07 1e+06 0.0141682 -1.07393e-11
