10	X	Y	Z	200	X	Y	Z	
0	1.78325e-07	0	0	0	1.74552e-07	0	0	
1	2.55343e-07	-1.73262e-08	0	1	2.53748e-07	-1.62298e-08	0	
2	3.04037e-07	-3.10041e-08	0	2	3.04826e-07	-3.02124e-08	0	
3	3.37392e-07	-4.31921e-08	0	3	3.40504e-07	-4.34993e-08	0	
4	3.61616e-07	-5.502e-08	0	4	3.66891e-07	-5.68658e-08	0	
5	3.80044e-07	-6.59768e-08	0	5	3.87294e-07	-6.95523e-08	0	
6	3.94709e-07	-7.61332e-08	0	6	4.03756e-07	-8.14781e-08	0	
7	4.06839e-07	-8.55243e-08	0	7	4.17529e-07	-9.25962e-08	0	
8	4.17094e-07	-9.41774e-08	0	8	4.29277e-07	-1.02895e-07	0	
9	4.25985e-07	-1.02189e-07	0	9	4.39521e-07	-1.12455e-07	0	
10	4.33829e-07	-1.09551e-07	0	10	4.48595e-07	-1.21257e-07	0	
11	4.40862e-07	-1.1633e-07	0	11	4.56743e-07	-1.29361e-07	0	
12	4.47233e-07	-1.22579e-07	0	12	4.64129e-07	-1.36827e-07	0	
13	4.53045e-07	-1.28349e-07	0	13	4.70865e-07	-1.43713e-07	0	
14	4.58377e-07	-1.33685e-07	0	14	4.77038e-07	-1.50071e-07	0	
15	4.63288e-07	-1.38627e-07	0	15	4.82716e-07	-1.55948e-07	0	
16	4.67825e-07	-1.4321e-07	0	16	4.87954e-07	-1.61389e-07	0	
17	4.72029e-07	-1.47468e-07	0	17	4.92798e-07	-1.66435e-07	0	
18	4.75932e-07	-1.5143e-07	0	18	4.97286e-07	-1.71122e-07	0	
19	4.79563e-07	-1.55123e-07	0	19	5.01454e-07	-1.7548e-07	0	
20	4.82948e-07	-1.58568e-07	0	20	5.0533e-07	-1.79539e-07	0	
21	4.86105e-07	-1.61783e-07	0	21	5.0894e-07	-1.8332e-07	0	
22	4.89057e-07	-1.64786e-07	0	22	5.12307e-07	-1.86845e-07	0	
23	4.91814e-07	-1.6759e-07	0	23	5.15447e-07	-1.90132e-07	0	
24	4.94391e-07	-1.70211e-07	0	24	5.18379e-07	-1.932e-07	0	
25	4.96801e-07	-1.72663e-07	0	25	5.21117e-07	-1.96065e-07	0	
26	4.99057e-07	-1.74958e-07	0	26	5.23677e-07	-1.98745e-07	0	
27	5.01171e-07	-1.77108e-07	0	27	5.26073e-07	-2.01253e-07	0	
28	5.03154e-07	-1.79125e-07	0	28	5.28317e-07	-2.03602e-07	0	
29	5.05015e-07	-1.81017e-07	0	29	5.30421e-07	-2.05804e-07	0	
30	5.06763e-07	-1.82794e-07	0	30	5.32395e-07	-2.07869e-07	0	
31	5.08406e-07	-1.84464e-07	0	31	5.34247e-07	-2.09808e-07	0	
32	5.0995e-07	-1.86033e-07	0	32	5.35988e-07	-2.11629e-07	0	
33	5.11403e-07	-1.8751e-07	0	33	5.37624e-07	-2.1334e-07	0	
34	5.1277e-07	-1.88899e-07	0	34	5.39162e-07	-2.14949e-07	0	
35	5.14058e-07	-1.90207e-07	0	35	5.40609e-07	-2.16463e-07	0	
36	5.1527e-07	-1.91438e-07	0	36	5.41972e-07	-2.17887e-07	0	
37	5.16413e-07	-1.92598e-07	0	37	5.43254e-07	-2.19229e-07	0	
38	5.1749e-07	-1.93692e-07	0	38	5.44463e-07	-2.20492e-07	0	
39	5.18506e-07	-1.94723e-07	0	39	5.45601e-07	-2.21682e-07	0	
