10	X	Y	Z	200	X	Y	Z	
0	1.78325e-07	0	0	0	1.74552e-07	0	0	
1	2.55343e-07	-1.73262e-08	0	1	2.53748e-07	-1.62298e-08	0	
2	3.04037e-07	-3.10041e-08	0	2	3.04826e-07	-3.02124e-08	0	
3	3.37392e-07	-4.31921e-08	0	3	3.40504e-07	-4.34993e-08	0	
4	3.61616e-07	-5.502e-08	0	4	3.66891e-07	-5.68658e-08	0	
5	3.80044e-07	-6.59768e-08	0	5	3.87294e-07	-6.95523e-08	0	
6	3.94709e-07	-7.61332e-08	0	6	4.03756e-07	-8.14781e-08	0	
7	4.06839e-07	-8.55243e-08	0	7	4.17529e-07	-9.25962e-08	0	
8	4.17094e-07	-9.41774e-08	0	8	4.29277e-07	-1.02895e-07	0	
9	4.25985e-07	-1.02189e-07	0	9	4.39521e-07	-1.12455e-07	0	
10	4.33829e-07	-1.09551e-07	0	10	4.48595e-07	-1.21257e-07	0	
11	4.40862e-07	-1.1633e-07	0	11	4.56743e-07	-1.29361e-07	0	
12	4.47233e-07	-1.22579e-07	0	12	4.64129e-07	-1.36827e-07	0	
13	4.53045e-07	-1.28349e-07	0	13	4.70865e-07	-1.43713e-07	0	
14	4.58377e-07	-1.33685e-07	0	14	4.77038e-07	-1.50071e-07	0	
15	4.63288e-07	-1.38627e-07	0	15	4.82716e-07	-1.55948e-07	0	
16	4.67825e-07	-1.4321e-07	0	16	4.87954e-07	-1.61389e-07	0	
17	4.72029e-07	-1.47468e-07	0	17	4.92798e-07	-1.66435e-07	0	
18	4.75932e-07	-1.5143e-07	0	18	4.97286e-07	-1.71122e-07	0	
19	4.79563e-07	-1.55123e-07	0	19	5.01454e-07	-1.7548e-07	0	
20	5.36341e-07	-2.10166e-07	-0.00135312	20	5.62384e-07	-2.38977e-07	-0.000447173	
21	5.36773e-07	-2.10284e-07	-0.00135312	21	5.63405e-07	-2.39338e-07	-0.000447173	
22	5.36989e-07	-2.10409e-07	-0.00135312	22	5.64106e-07	-2.39658e-07	-0.000447173	
23	5.37103e-07	-2.10577e-07	-0.00135312	23	5.64596e-07	-2.39919e-07	-0.000447173	
24	5.37049e-07	-2.10642e-07	-0.00135312	24	5.64835e-07	-2.40059e-07	-0.000447173	
25	5.37135e-07	-2.10706e-07	-0.00135312	25	5.65143e-07	-2.40187e-07	-0.000447173	
26	5.37092e-07	-2.10887e-07	-0.00135312	26	5.65292e-07	-2.40394e-07	-0.000447173	
27	5.37149e-07	-2.109e-07	-0.00135312	27	5.65477e-07	-2.40424e-07	-0.000447173	
28	5.37125e-07	-2.11098e-07	-0.00135312	28	5.65576e-07	-2.40641e-07	-0.000447173	
29	5.37101e-07	-2.11111e-07	-0.00135312	29	5.6565e-07	-2.40678e-07	-0.000447173	
30	5.37082e-07	-2.11318e-07	-0.00135312	30	5.6572e-07	-2.40895e-07	-0.000447173	
31	5.37064e-07	-2.11327e-07	-0.00135312	31	5.65779e-07	-2.40921e-07	-0.000447173	
32	5.36866e-07	-2.11354e-07	-0.00135312	32	5.65638e-07	-2.4095e-07	-0.000447173	
33	5.36865e-07	-2.11639e-07	-0.00135312	33	5.65682e-07	-2.41243e-07	-0.000447173	
34	5.36852e-07	-2.11637e-07	-0.00135312	34	5.65713e-07	-2.41229e-07	-0.000447173	
35	5.36851e-07	-2.11654e-07	-0.00135312	35	5.65746e-07	-2.41245e-07	-0.000447173	
