Time iteration ExecutionTime CPUTime
1 0 1.66 1 
1 1 3.24 0.306954 
1 2 4.52 0.156481 
1 3 5.66 0.0855437 
1 4 6.93 0.053182 
1 5 8.18 0.0361385 
1 6 9.39 0.025715 
1 7 10.58 0.0200902 
1 8 11.86 0.0169294 
1 9 13.07 0.0146219 
1 10 14.21 0.0128456 
1 11 15.54 0.0114463 
1 12 16.73 0.0102931 
1 13 17.89 0.00932219 
1 14 19.1 0.00848846 
1 15 20.48 0.00776219 
1 16 21.7 0.00712048 
1 17 23.07 0.00655324 
1 18 24.4 0.00604595 
1 19 25.78 0.0055902 
1 20 27.25 0.00518045 
1 21 28.56 0.00480549 
1 22 29.86 0.0044652 
1 23 31.21 0.00414872 
1 24 32.45 0.00385954 
1 25 33.72 0.0035947 
1 26 34.9 0.00343835 
1 27 36.15 0.00331653 
1 28 37.37 0.00319564 
1 29 38.55 0.00307633 
1 30 39.81 0.00295919 
1 31 41.04 0.00284458 
1 32 42.26 0.00273278 
1 33 43.55 0.00262407 
1 34 44.89 0.00251851 
1 35 46.18 0.00241626 
1 36 47.38 0.00231729 
1 37 48.61 0.00222166 
1 38 49.82 0.00212933 
1 39 51.04 0.00204028 
1 40 52.46 0.00195446 
1 41 53.77 0.00187182 
1 42 54.96 0.00179208 
1 43 56.18 0.00171565 
1 44 57.55 0.00164214 
1 45 58.87 0.00157151 
1 46 60.12 0.00150364 
1 47 61.4 0.00143849 
1 48 62.64 0.00137594 
1 49 63.86 0.00131593 
1 50 65.21 0.00125836 
1 51 66.37 0.00120315 
1 52 67.68 0.00115023 
1 53 69.07 0.00109949 
1 54 70.31 0.00105089 
1 55 71.51 0.00100432 
1 56 72.67 0.000959709 
1 57 73.96 0.000916992 
1 58 75.11 0.000876087 
1 59 76.38 0.000836931 
1 60 77.55 0.000799456 
1 61 78.89 0.000763588 
1 62 80.16 0.00072927 
1 63 81.37 0.000696433 
1 64 82.54 0.000665028 
1 65 83.77 0.000634987 
1 66 84.98 0.000606252 
1 67 86.18 0.000578791 
1 68 87.45 0.000552524 
1 69 88.64 0.000527418 
1 70 89.97 0.000503415 
1 71 91.21 0.000480478 
1 72 92.42 0.000458554 
1 73 93.76 0.000437605 
1 74 95.1 0.000417588 
1 75 96.35 0.000398465 
1 76 97.56 0.000380194 
1 77 98.78 0.000362742 
1 78 99.98 0.000346071 
1 79 101.16 0.000330152 
1 80 102.37 0.000314945 
1 81 103.58 0.000300419 
1 82 104.75 0.000286555 
1 83 106.02 0.00027332 
1 84 107.27 0.000260684 
1 85 108.54 0.000248621 
1 86 109.7 0.000237106 
1 87 110.99 0.000226115 
1 88 112.17 0.000215624 
1 89 113.44 0.000205611 
1 90 114.7 0.000196054 
1 91 116.01 0.000186935 
1 92 117.23 0.000178232 
1 93 118.49 0.000169928 
1 94 119.78 0.000162005 
1 95 120.96 0.000154445 
1 96 122.22 0.000147232 
1 97 123.41 0.000140352 
1 98 124.79 0.000133789 
1 99 126.16 0.000127528 
1 100 127.38 0.000121556 
1 101 128.64 0.00011586 
1 102 129.95 0.000110427 
1 103 131.09 0.000105246 
1 104 132.4 0.000100304 
1 105 133.62 9.55923e-05 
1 106 135.05 9.10993e-05 
1 107 136.28 8.6814e-05 
1 108 137.56 8.27288e-05 
1 109 138.74 7.88333e-05 
1 110 140.04 7.51192e-05 
