Time iteration ExecutionTime CPUTime
1 0 1.7 1 
1 1 3.47 0.306954 
1 2 5.03 0.156481 
1 3 6.3 0.0855437 
1 4 7.72 0.053182 
1 5 9.3 0.0361385 
1 6 10.75 0.025715 
1 7 12.14 0.0200902 
1 8 13.61 0.0169294 
1 9 15.18 0.0146219 
1 10 16.58 0.0128456 
1 11 17.99 0.0114463 
1 12 19.73 0.0102931 
1 13 21.59 0.00932219 
1 14 23.48 0.00848846 
1 15 25.26 0.00776219 
1 16 26.88 0.00712048 
1 17 28.29 0.00655324 
1 18 29.74 0.00604595 
1 19 31.26 0.0055902 
1 20 44.1 8.1879e-07 
1 21 44.22 1.03419e-07 
1 22 44.33 7.08902e-08 
1 23 44.48 7.55017e-08 
1 24 44.57 4.32017e-08 
1 25 44.68 3.58126e-08 
1 26 44.87 4.84244e-08 
1 27 44.95 2.24417e-08 
1 28 45.05 2.07071e-08 
1 29 45.14 1.9041e-08 
1 30 45.24 1.97247e-08 
1 31 45.39 3.25903e-08 
1 32 45.53 2.08211e-08 
1 33 45.61 8.99913e-09 
1 34 45.7 8.09683e-09 
1 35 45.84 1.57243e-08 
1 36 45.92 5.18695e-09 
1 37 46.08 2.60367e-08 
1 38 46.17 5.9781e-09 
1 39 46.28 6.17748e-09 
1 40 46.42 1.58529e-08 
1 41 46.53 5.6156e-09 
1 42 46.67 1.15774e-08 
1 43 47.06 7.20169e-08 
1 44 47.64 5.02596e-08 
1 45 47.79 1.15185e-08 
1 46 47.88 2.62296e-09 
1 47 47.98 2.47472e-09 
1 48 48.07 2.21238e-09 
1 49 48.32 1.81872e-08 
1 50 48.77 3.67935e-08 
1 51 49.2 2.88934e-08 
1 52 49.61 1.49291e-08 
1 53 49.93 1.1458e-08 
1 54 50.21 9.93815e-09 
1 55 50.69 2.24138e-08 
1 56 51.33 1.62114e-08 
1 57 51.78 7.52815e-09 
1 58 52.22 8.11523e-09 
1 59 52.6 7.12265e-09 
1 60 53.02 6.83608e-09 
1 61 53.44 6.52383e-09 
1 62 54.05 9.49899e-09 
1 63 54.63 1.03494e-08 
1 64 55.07 5.81969e-09 
1 65 55.45 4.79087e-09 
1 66 55.86 4.51667e-09 
1 67 56.46 6.73233e-09 
1 68 57.06 7.0525e-09 
1 69 57.46 3.79187e-09 
1 70 57.89 3.53341e-09 
1 71 58.54 5.08707e-09 
1 72 59.17 4.98749e-09 
1 73 59.64 3.01737e-09 
1 74 60.15 3.06593e-09 
1 75 60.82 3.90384e-09 
1 76 61.33 2.6082e-09 
1 77 61.82 2.64923e-09 
1 78 62.56 3.47012e-09 
1 79 63.4 3.46523e-09 
1 80 63.85 2.37993e-09 
1 81 64.34 2.34954e-09 
1 82 64.98 2.3561e-09 
1 83 65.74 2.51513e-09 
1 84 66.44 2.13336e-09 
1 85 66.91 1.99542e-09 
1 86 67.72 2.0135e-09 
1 87 68.49 1.80134e-09 
1 88 69.02 1.76925e-09 
1 89 69.79 1.63503e-09 
1 90 70.52 1.45616e-09 
1 91 71.11 1.45027e-09 
1 92 71.93 1.25763e-09 
1 93 72.66 1.19221e-09 
1 94 73.27 1.32665e-09 
1 95 74.15 1.08267e-09 
1 96 74.94 9.99168e-10 
1 97 75.5 1.1519e-09 
1 98 76.27 8.99599e-10 
1 99 77.06 8.82197e-10 
1 100 77.65 1.0108e-09 
1 101 78.52 7.9585e-10 
1 102 79.27 7.68593e-10 
1 103 79.95 8.85906e-10 
1 104 80.89 6.34444e-10 
1 105 81.52 8.16251e-10 
1 106 82.39 6.74288e-10 
1 107 83.39 6.25666e-10 
1 108 84.21 6.12333e-10 
1 109 85.06 5.95843e-10 
1 110 85.95 5.70277e-10 
1 111 86.61 6.31454e-10 
1 112 87.52 5.11055e-10 
1 113 88.43 4.80026e-10 
1 114 89.37 4.71796e-10 
1 115 90.38 4.53969e-10 
1 116 91.29 4.39678e-10 
1 117 92.13 4.20628e-10 
1 118 92.94 4.04858e-10 
1 119 93.74 3.86409e-10 
1 120 94.58 3.71154e-10 
1 121 95.54 3.53607e-10 
1 122 96.45 3.39674e-10 
1 123 97.36 3.23497e-10 
1 124 98.24 3.10305e-10 
1 125 99.12 2.94493e-10 
1 126 100.05 2.82844e-10 
1 127 100.98 2.68702e-10 
1 128 101.95 2.58172e-10 
1 129 102.91 2.45105e-10 
1 130 103.89 2.35278e-10 
1 131 104.8 2.23455e-10 
1 132 105.65 2.14445e-10 
1 133 106.47 2.03591e-10 
1 134 107.34 1.95299e-10 
1 135 108.15 1.85515e-10 
1 136 109.01 1.77629e-10 
1 137 109.86 1.68957e-10 
1 138 110.71 1.61565e-10 
1 139 111.66 1.53968e-10 
1 140 112.66 1.47225e-10 
1 141 113.57 1.40074e-10 
1 142 114.53 1.34014e-10 
1 143 115.44 1.27554e-10 
1 144 116.36 1.21947e-10 
1 145 117.36 1.16073e-10 
1 146 118.33 1.10978e-10 
1 147 119.3 1.05624e-10 
1 148 120.56 9.16601e-11 
