Time iteration ExecutionTime CPUTime
1 0 1.41 1 
1 1 2.74 0.306954 
1 2 4.26 0.156481 
1 3 5.58 0.0855437 
1 4 6.97 0.053182 
1 5 8.51 0.0361385 
1 6 9.98 0.025715 
1 7 11.45 0.0200902 
1 8 12.98 0.0169294 
1 9 14.56 0.0146219 
1 10 16.17 0.0128456 
1 11 17.61 0.0114463 
1 12 19.32 0.0102931 
1 13 20.75 0.00932219 
1 14 22.27 0.00848846 
1 15 23.76 0.00776219 
1 16 25.23 0.00712048 
1 17 26.64 0.00655324 
1 18 28.06 0.00604595 
1 19 29.49 0.0055902 
1 20 30.8 0.00518045 
1 21 32.22 0.00480549 
1 22 33.62 0.0044652 
1 23 35.02 0.00414872 
1 24 36.48 0.00385954 
1 25 37.99 0.0035947 
1 26 39.49 0.00343835 
1 27 40.89 0.00331653 
1 28 42.32 0.00319564 
1 29 43.77 0.00307633 
1 30 45.13 0.00295919 
1 31 46.57 0.00284458 
1 32 48.04 0.00273278 
1 33 49.39 0.00262407 
1 34 50.77 0.00251851 
1 35 52.18 0.00241626 
1 36 53.72 0.00231729 
1 37 55.23 0.00222166 
1 38 56.68 0.00212933 
1 39 58.1 0.00204028 
1 40 59.53 0.00195446 
1 41 60.98 0.00187182 
1 42 62.46 0.00179208 
1 43 63.9 0.00171565 
1 44 65.23 0.00164214 
1 45 66.47 0.00157151 
1 46 67.75 0.00150364 
1 47 68.99 0.00143849 
1 48 70.22 0.00137594 
1 49 71.47 0.00131593 
1 50 72.73 0.00125836 
1 51 74.06 0.00120315 
1 52 75.51 0.00115023 
1 53 77 0.00109949 
1 54 78.49 0.00105089 
1 55 80.01 0.00100432 
1 56 81.42 0.000959709 
1 57 83.05 0.000916992 
1 58 84.43 0.000876087 
1 59 85.8 0.000836931 
1 60 87.39 0.000799456 
1 61 88.97 0.000763588 
1 62 90.39 0.00072927 
1 63 91.87 0.000696433 
1 64 93.4 0.000665028 
1 65 94.9 0.000634987 
1 66 96.36 0.000606252 
1 67 97.88 0.000578791 
1 68 99.28 0.000552524 
1 69 100.67 0.000527418 
1 70 102 0.000503415 
1 71 103.35 0.000480478 
1 72 104.75 0.000458554 
1 73 106.25 0.000437605 
1 74 107.56 0.000417588 
1 75 108.93 0.000398465 
1 76 110.37 0.000380194 
1 77 111.84 0.000362742 
1 78 113.2 0.000346071 
1 79 114.61 0.000330152 
1 80 116.07 0.000314945 
1 81 117.45 0.000300419 
1 82 118.82 0.000286555 
1 83 120.23 0.00027332 
1 84 121.65 0.000260684 
1 85 123.12 0.000248621 
1 86 124.5 0.000237106 
1 87 126.09 0.000226115 
1 88 127.6 0.000215624 
1 89 129.14 0.000205611 
1 90 130.61 0.000196054 
1 91 132.09 0.000186935 
1 92 133.58 0.000178232 
1 93 134.96 0.000169928 
1 94 136.35 0.000162005 
1 95 137.78 0.000154445 
1 96 139.01 0.000147232 
1 97 139.99 0.000140352 
1 98 140.95 0.000133789 
1 99 141.84 0.000127528 
1 100 142.99 0.000121556 
1 101 143.95 0.00011586 
1 102 144.83 0.000110427 
1 103 145.66 0.000105246 
1 104 146.49 0.000100304 
1 105 147.32 9.55923e-05 
1 106 148.14 9.10993e-05 
1 107 148.95 8.6814e-05 
1 108 149.77 8.27288e-05 
1 109 150.66 7.88333e-05 
1 110 151.53 7.51192e-05 
1 111 152.39 7.15783e-05 
1 112 153.23 6.82024e-05 
1 113 154.07 6.49839e-05 
1 114 154.89 6.19162e-05 
1 115 155.72 5.89913e-05 
1 116 156.54 5.62035e-05 
1 117 157.37 5.35463e-05 
1 118 158.19 5.10132e-05 
1 119 159.06 4.85991e-05 
1 120 159.87 4.6298e-05 
1 121 160.69 4.41048e-05 
1 122 161.52 4.20148e-05 
1 123 162.34 4.0023e-05 
1 124 163.15 3.81246e-05 
1 125 163.95 3.63156e-05 
1 126 164.76 3.45918e-05 
1 127 165.56 3.29491e-05 
1 128 166.38 3.13839e-05 
1 129 167.19 2.98923e-05 
1 130 168.05 2.84712e-05 
1 131 168.88 2.7117e-05 
1 132 169.98 2.58268e-05 
1 133 171.03 2.45976e-05 
1 134 172.05 2.34265e-05 
1 135 173.17 2.23107e-05 
1 136 174.16 2.12477e-05 
1 137 175.09 2.0235e-05 
1 138 176.14 1.92702e-05 
1 139 177.13 1.83512e-05 
1 140 178.17 1.74757e-05 
1 141 179.38 1.66417e-05 
1 142 180.41 1.58473e-05 
1 143 181.48 1.50905e-05 
1 144 182.38 1.43697e-05 
1 145 183.26 1.36831e-05 
1 146 184.17 1.30291e-05 
1 147 185.15 1.24062e-05 
1 148 186.07 1.18129e-05 
1 149 186.97 1.12479e-05 
1 150 187.81 1.07097e-05 
1 151 188.68 1.01971e-05 
1 152 189.54 9.7089e-06 
1 153 190.44 9.24398e-06 
1 154 191.25 8.80123e-06 
1 155 192.07 8.37955e-06 
1 156 193.05 7.97798e-06 
1 157 193.96 7.59557e-06 
1 158 194.96 7.23138e-06 
1 159 195.87 6.88459e-06 
1 160 197.1 6.55435e-06 
1 161 198.44 6.23988e-06 
1 162 199.65 5.94042e-06 
1 163 200.86 5.65529e-06 
1 164 202 5.38375e-06 
1 165 203.09 5.12523e-06 
1 166 204.13 4.87904e-06 
1 167 205.13 4.64464e-06 
1 168 206.2 4.42146e-06 
1 169 207.14 4.20895e-06 
1 170 208.13 4.00662e-06 
1 171 209.2 3.81398e-06 
1 172 210.17 3.63056e-06 
1 173 211.09 3.45593e-06 
1 174 211.99 3.28967e-06 
1 175 213.07 3.13138e-06 
1 176 214.07 2.98067e-06 
1 177 215.04 2.8372e-06 
1 178 216.04 2.7006e-06 
1 179 216.89 2.57056e-06 
1 180 217.92 2.44676e-06 
1 181 218.81 2.3289e-06 
1 182 219.72 2.2167e-06 
1 183 220.57 2.10989e-06 
1 184 221.48 2.0082e-06 
1 185 222.39 1.9114e-06 
1 186 223.29 1.81926e-06 
1 187 224.29 1.73154e-06 
1 188 225.48 1.64803e-06 
1 189 226.58 1.56855e-06 
1 190 227.54 1.49288e-06 
1 191 228.69 1.42086e-06 
1 192 229.69 1.3523e-06 
1 193 230.73 1.28703e-06 
1 194 231.63 1.22491e-06 
1 195 232.56 1.16578e-06 
1 196 233.54 1.10949e-06 
1 197 234.47 1.05592e-06 
1 198 235.49 1.00492e-06 
1 199 236.45 9.5637e-07 
1 200 237.3 9.1019e-07 
1 201 238.16 8.66211e-07 
1 202 239.03 8.24355e-07 
1 203 239.91 7.84518e-07 
1 204 240.84 7.46598e-07 
1 205 241.73 7.10512e-07 
1 206 242.65 6.76162e-07 
1 207 243.52 6.43469e-07 
1 208 244.38 6.12355e-07 
1 209 245.22 5.82742e-07 
1 210 246.06 5.54548e-07 
1 211 246.94 5.27728e-07 
1 212 247.81 5.02211e-07 
1 213 248.69 4.77924e-07 
1 214 249.54 4.54829e-07 
1 215 250.38 4.32916e-07 
1 216 251.27 4.12091e-07 
1 217 252.1 3.92268e-07 
1 218 252.94 3.73288e-07 
1 219 253.59 3.7452e-07 
1 220 254.44 3.27673e-07 
1 221 255.08 3.37274e-07 
1 222 255.92 2.93799e-07 
