Time iteration ExecutionTime CPUTime
1 0 1.33 1 
1 1 2.73 0.306954 
1 2 4.13 0.156481 
1 3 5.38 0.0855437 
1 4 6.71 0.053182 
1 5 8.12 0.0361385 
1 6 9.63 0.025715 
1 7 10.97 0.0200902 
1 8 12.26 0.0169294 
1 9 13.46 0.0146219 
1 10 14.83 0.0128456 
1 11 16.07 0.0114463 
1 12 17.43 0.0102931 
1 13 18.48 0.00932219 
1 14 19.68 0.00848846 
1 15 20.88 0.00776219 
1 16 21.99 0.00712048 
1 17 23.2 0.00655324 
1 18 24.48 0.00604595 
1 19 25.98 0.0055902 
1 20 27.72 4.49016e-07 
1 21 27.95 1.29194e-07 
1 22 28.16 6.95066e-08 
1 23 28.38 4.62641e-08 
1 24 28.48 1.55639e-08 
1 25 28.57 1.22411e-08 
1 26 28.68 9.90465e-09 
1 27 28.75 8.20205e-09 
1 28 28.96 2.87264e-08 
1 29 29.19 2.16418e-08 
1 30 29.29 4.77233e-09 
1 31 29.36 4.12912e-09 
1 32 29.43 3.62646e-09 
1 33 29.5 3.21611e-09 
1 34 29.67 1.85868e-08 
1 35 29.83 1.33673e-08 
1 36 29.9 2.17021e-09 
1 37 29.98 1.94683e-09 
1 38 30.32 4.34281e-08 
1 39 30.46 5.84827e-09 
1 40 30.52 1.37938e-09 
1 41 30.69 1.54557e-08 
1 42 30.79 3.74242e-09 
1 43 30.88 9.86474e-10 
1 44 31.19 1.8363e-08 
1 45 31.4 5.19837e-09 
1 46 31.7 1.68046e-08 
1 47 31.88 3.92656e-09 
1 48 32.17 1.4225e-08 
1 49 32.39 4.32404e-09 
1 50 32.65 7.47752e-09 
1 51 32.85 2.9398e-09 
1 52 33.14 1.09813e-08 
1 53 33.48 3.52083e-09 
1 54 34.01 9.21557e-09 
1 55 34.29 2.74656e-09 
1 56 34.58 7.91437e-09 
1 57 34.85 2.81752e-09 
1 58 35.34 6.85529e-09 
1 59 35.8 5.63622e-09 
1 60 36.3 4.97929e-09 
1 61 36.79 4.02335e-09 
1 62 37.2 4.30311e-09 
1 63 37.69 4.30099e-09 
1 64 38.12 3.66947e-09 
1 65 38.6 3.17269e-09 
1 66 38.94 3.25265e-09 
1 67 39.34 3.29786e-09 
1 68 39.85 2.82908e-09 
1 69 40.52 2.49637e-09 
1 70 40.94 2.13068e-09 
1 71 41.41 2.21476e-09 
1 72 42.1 2.10485e-09 
1 73 42.63 1.74071e-09 
1 74 43.21 1.71426e-09 
1 75 43.84 1.75682e-09 
1 76 44.33 1.55787e-09 
1 77 44.83 1.47752e-09 
1 78 45.56 1.45946e-09 
1 79 46.02 1.38223e-09 
1 80 46.48 1.30981e-09 
1 81 47.04 1.22381e-09 
1 82 47.4 1.21467e-09 
1 83 47.83 1.12969e-09 
1 84 48.37 1.00834e-09 
1 85 48.89 1.05477e-09 
1 86 49.42 9.903e-10 
1 87 50.08 8.46604e-10 
1 88 50.58 9.12239e-10 
1 89 51.42 1.0304e-09 
1 90 52.13 8.20798e-10 
1 91 52.67 8.48354e-10 
1 92 53.19 7.99914e-10 
1 93 53.93 6.16312e-10 
1 94 54.45 7.27425e-10 
1 95 55.25 6.97966e-10 
1 96 56.05 5.48694e-10 
1 97 56.6 6.54567e-10 
1 98 57.08 6.17891e-10 
1 99 57.76 4.84874e-10 
1 100 58.33 5.00938e-10 
1 101 58.96 4.39162e-10 
1 102 59.48 5.2567e-10 
1 103 60.09 4.03488e-10 
1 104 60.72 3.8115e-10 
1 105 61.2 4.48778e-10 
1 106 61.65 4.2243e-10 
1 107 62.3 3.2373e-10 
1 108 63 3.09772e-10 
1 109 63.59 3.12783e-10 
1 110 64.08 3.59923e-10 
1 111 64.65 3.36075e-10 
1 112 65.3 2.61886e-10 
1 113 65.88 2.51443e-10 
1 114 66.52 2.51824e-10 
1 115 67.05 2.8461e-10 
1 116 67.6 2.67119e-10 
1 117 68.35 2.11307e-10 
1 118 68.97 2.02621e-10 
1 119 69.65 2.00706e-10 
1 120 70.13 2.25203e-10 
1 121 70.82 1.85369e-10 
1 122 71.47 1.72535e-10 
1 123 72.16 1.70154e-10 
1 124 72.67 1.87971e-10 
1 125 73.56 1.55532e-10 
1 126 74.3 1.44542e-10 
1 127 75.08 1.42004e-10 
1 128 75.74 1.55919e-10 
1 129 76.61 1.2939e-10 
1 130 77.39 1.20201e-10 
1 131 78.24 1.17826e-10 
1 132 78.8 1.29289e-10 
1 133 79.58 8.94139e-11 
