Time iteration ExecutionTime CPUTime
1 0 1.08 1 
1 1 2.11 2 
1 2 2.95 3 
1 3 3.78 4 
1 4 4.74 5 
1 5 5.63 6 
1 6 6.47 7 
1 7 7.26 7 
1 8 8.04 8 
1 9 8.8 9 
1 10 9.57 10 
1 11 10.33 10 
1 12 11.09 11 
1 13 11.87 12 
1 14 12.69 13 
1 15 13.72 14 
1 16 14.75 15 
1 17 15.69 16 
1 18 16.74 17 
1 19 17.71 18 
1 20 22.41 22 
1 21 22.51 23 
1 22 22.59 23 
1 23 22.67 23 
1 24 22.77 23 
1 25 22.84 23 
1 26 22.98 23 
1 27 23.05 23 
1 28 23.14 23 
1 29 23.22 23 
1 30 23.35 23 
1 31 23.44 23 
1 32 23.52 24 
1 33 23.63 24 
1 34 23.71 24 
1 35 23.81 24 
1 36 23.93 24 
1 37 24.04 24 
1 38 24.12 24 
1 39 24.21 24 
1 40 24.44 24 
1 41 24.54 25 
1 42 24.64 25 
1 43 24.75 25 
1 44 24.85 25 
1 45 24.96 25 
1 46 25.07 25 
1 47 25.15 25 
1 48 25.26 25 
1 49 25.4 25 
1 50 25.49 26 
1 51 25.62 26 
1 52 25.74 26 
1 53 25.95 26 
1 54 26.09 26 
1 55 26.36 26 
1 56 26.44 27 
1 57 26.56 27 
1 58 26.7 27 
1 59 26.85 27 
1 60 27.05 27 
1 61 27.15 27 
1 62 27.27 27 
1 63 27.43 27 
1 64 27.58 28 
1 65 27.79 28 
1 66 27.96 28 
1 67 28.11 28 
1 68 28.27 28 
1 69 28.52 29 
1 70 28.7 29 
1 71 28.78 29 
1 72 28.89 29 
1 73 29.05 29 
1 74 29.17 29 
1 75 29.33 29 
1 76 29.46 30 
1 77 29.62 30 
1 78 29.78 30 
1 79 29.91 30 
1 80 30.02 30 
1 81 30.21 30 
1 82 30.41 30 
1 83 30.55 31 
1 84 30.73 31 
1 85 31.07 31 
1 86 31.27 31 
1 87 31.42 31 
1 88 31.7 32 
1 89 31.95 32 
1 90 32.12 32 
1 91 32.3 32 
1 92 32.56 33 
1 93 32.78 33 
1 94 33.04 33 
1 95 33.26 33 
1 96 33.5 34 
1 97 33.76 34 
1 98 34.04 34 
1 99 34.37 34 
1 100 34.69 35 
1 101 35.05 35 
1 102 35.46 36 
1 103 35.79 36 
1 104 36.12 36 
1 105 36.37 36 
1 106 36.68 37 
1 107 36.98 37 
1 108 37.29 37 
1 109 37.65 38 
1 110 37.96 38 
1 111 38.28 38 
1 112 38.64 39 
1 113 39 39 
1 114 39.45 40 
