Time iteration ExecutionTime CPUTime
1 0 1.21 1 
1 1 1.31 1 
1 2 1.38 2 
1 3 1.5 2 
1 4 1.58 2 
1 5 1.67 2 
1 6 1.75 2 
1 7 2.16 2 
1 8 2.24 2 
1 9 2.33 2 
1 10 2.43 3 
1 11 2.53 3 
1 12 2.61 3 
1 13 2.71 3 
1 14 2.79 3 
1 15 3 3 
1 16 3.08 3 
1 17 3.49 4 
1 18 3.59 4 
1 19 3.68 4 
1 20 3.75 4 
1 21 3.84 4 
1 22 3.91 4 
1 23 3.99 4 
1 24 4.14 4 
1 25 4.21 4 
1 26 4.27 4 
1 27 4.37 5 
1 28 4.74 5 
1 29 4.95 5 
1 30 5.02 5 
1 31 5.12 5 
1 32 5.24 5 
1 33 5.31 5 
1 34 5.41 6 
1 35 5.5 6 
1 36 5.68 6 
1 37 6.12 6 
1 38 6.36 7 
1 39 6.45 7 
1 40 6.53 7 
1 41 6.64 7 
1 42 6.74 7 
1 43 6.99 7 
1 44 7.14 7 
1 45 7.21 7 
1 46 7.31 7 
1 47 7.39 8 
1 48 7.97 8 
1 49 8.14 8 
1 50 8.22 8 
1 51 8.44 9 
1 52 8.58 9 
1 53 8.64 9 
1 54 8.73 9 
1 55 8.95 9 
1 56 9.36 10 
1 57 9.45 10 
1 58 9.84 10 
1 59 10.15 10 
1 60 10.26 10 
1 61 10.48 11 
1 62 10.89 11 
1 63 10.95 11 
1 64 11.02 11 
1 65 11.24 11 
1 66 11.67 12 
1 67 12.18 12 
1 68 12.46 13 
1 69 12.92 13 
1 70 13.4 14 
1 71 13.77 14 
1 72 14.06 14 
1 73 14.54 15 
1 74 14.89 15 
1 75 15.4 16 
1 76 15.87 16 
1 77 16.18 16 
1 78 16.93 17 
1 79 17.51 18 
1 80 18 18 
1 81 18.43 19 
1 82 19.08 19 
1 83 19.59 20 
1 84 20.04 20 
1 85 20.56 21 
1 86 21.3 21 
1 87 21.72 22 
1 88 22.3 22 
1 89 23 23 
1 90 23.58 25 
1 91 24.36 26 
1 92 24.88 26 
1 93 25.49 27 
1 94 26.24 28 
1 95 26.73 28 
1 96 27.33 29 
1 97 28.18 29 
1 98 28.7 30 
1 99 29.31 31 
1 100 30.2 31 
1 101 30.76 32 
1 102 31.35 33 
1 103 32.17 33 
1 104 32.76 34 
1 105 33.56 35 
1 106 34.3 36 
1 107 35.07 36 
1 108 35.67 37 
1 109 36.19 37 
1 110 36.91 38 
1 111 37.39 39 
1 112 38.03 39 
1 113 38.89 40 
1 114 39.47 41 
1 115 40.24 42 
1 116 40.74 42 
1 117 41.66 43 
1 118 42.54 44 
1 119 43.11 44 
1 120 43.68 45 
1 121 44.44 46 
1 122 45.27 47 
1 123 46.08 47 
1 124 46.62 48 
1 125 47.53 49 
1 126 48.33 50 
1 127 49.26 51 
1 128 49.96 51 
1 129 50.83 52 
1 130 51.69 53 
1 131 52.46 54 
1 132 53.12 54 
1 133 54.05 55 
1 134 54.9 56 
1 135 55.72 57 
1 136 56.32 58 
1 137 57.17 58 
1 138 57.94 59 
1 139 58.79 60 
1 140 59.36 61 
1 141 60.29 62 
1 142 61.06 62 
1 143 61.9 63 
1 144 62.52 64 
1 145 63.44 65 
1 146 64.24 66 
1 147 65.07 66 
1 148 65.7 67 
1 149 66.71 68 
1 150 67.55 69 
1 151 68.51 70 
1 152 69.18 70 
1 153 70.13 71 
1 154 70.96 72 
1 155 71.85 73 
1 156 72.5 74 
1 157 73.61 75 
1 158 74.59 76 
1 159 75.31 77 
1 160 76.48 78 
1 161 77.44 79 
1 162 78.4 80 
1 163 79.4 81 
1 164 80.42 82 
1 165 81.49 83 
1 166 82.46 84 
1 167 83.38 85 
1 168 84.49 86 
1 169 85.51 87 
1 170 86.75 88 
1 171 87.71 89 
1 172 88.64 90 
