# Time dispX dispY dispZ forceX forceY forceZ
0 0 0 0 0 0 0
1 1.06775e-06 -8.15503e-08 1.075e-23 100000 -0.000379338 3.58966e-19
2 2.1355e-06 -1.63101e-07 2.15e-23 200000 -0.00063115 7.15802e-19
3 3.20324e-06 -2.44651e-07 3.225e-23 300000 -0.000947659 1.07396e-18
4 4.27099e-06 -3.26201e-07 4.29999e-23 400000 -0.00149972 1.40033e-18
5 5.33874e-06 -4.07752e-07 5.37499e-23 500000 -0.00186232 1.73239e-18
6 6.40649e-06 -4.89302e-07 6.44999e-23 600000 -0.00227022 2.06353e-18
7 7.47424e-06 -5.70852e-07 7.52499e-23 700000 -0.00261209 2.45891e-18
8 8.54199e-06 -6.52403e-07 8.59999e-23 800000 -0.00296328 3.00069e-18
9 9.60973e-06 -7.33953e-07 9.67499e-23 900000 -0.00337017 3.1517e-18
10 1.06775e-05 -8.15503e-07 1.075e-22 1e+06 -0.00372609 3.50399e-18
